champ,role,winrate,banrate,pickrate,rank,change
Aatrox,TOP,49.17,2.66,3.75,irontogold,buff
Ahri,MID,50,1.86,5.5,irontogold,no change
Akali,MID,47.4,10.9,6.05,irontogold,buff
Akali,TOP,46.52,10.9,2.26,irontogold,buff
Akshan,MID,51.7,27.04,5.31,irontogold,no change
Akshan,ADC,49.24,27.04,2.55,irontogold,no change
Alistar,SUPPORT,49.57,1.38,4.2,irontogold,no change
Amumu,JUNGLE,54.57,12.1,9.36,irontogold,no change
Amumu,SUPPORT,52.33,12.1,2.44,irontogold,no change
Anivia,MID,51.61,3.18,3.26,irontogold,no change
Anivia,SUPPORT,47.1,3.18,0.56,irontogold,no change
Annie,MID,50.62,1.39,2.85,irontogold,no change
Aphelios,ADC,47.89,2.32,5.01,irontogold,no change
Ashe,ADC,50.86,6,14.13,irontogold,no change
Aurelion Sol,MID,49.48,0.22,0.56,irontogold,no change
Azir,MID,45.61,0.31,1.36,irontogold,no change
Bard,SUPPORT,47.62,0.37,1.98,irontogold,no change
Blitzcrank,SUPPORT,52.4,17.34,8,irontogold,no change
Brand,SUPPORT,51.58,10.61,6.78,irontogold,no change
Brand,MID,51.34,10.61,1.14,irontogold,no change
Braum,SUPPORT,49.79,0.52,3.15,irontogold,no change
Caitlyn,ADC,48.56,9.02,14.26,irontogold,no change
Camille,TOP,49.51,6.75,5.66,irontogold,no change
Cassiopeia,MID,49.61,1.57,2.09,irontogold,no change
Cassiopeia,TOP,50.37,1.57,0.41,irontogold,no change
Cassiopeia,ADC,48.42,1.57,0.33,irontogold,no change
Cho'Gath,TOP,49.44,1.21,2.61,irontogold,no change
Cho'Gath,MID,50.06,1.21,0.4,irontogold,no change
Corki,MID,52.31,0.31,1.29,irontogold,no change
Darius,TOP,47.1,18.94,6.82,irontogold,no change
Diana,JUNGLE,50.19,8.81,5.75,irontogold,no change
Diana,MID,50.85,8.81,3.57,irontogold,no change
Dr. Mundo,TOP,52.05,5.24,4.7,irontogold,no change
Dr. Mundo,JUNGLE,52.39,5.24,0.76,irontogold,no change
Draven,ADC,49.19,8.44,6.27,irontogold,no change
Ekko,JUNGLE,51.16,7.44,7.65,irontogold,no change
Ekko,MID,49.79,7.44,3.44,irontogold,no change
Elise,JUNGLE,48.39,1.98,1.71,irontogold,no change
Evelynn,JUNGLE,49.05,5.88,4.16,irontogold,no change
Ezreal,ADC,47.99,7.43,19.14,irontogold,no change
Fiddlesticks,JUNGLE,50.96,3.76,4.26,irontogold,no change
Fiora,TOP,50.9,10.23,6.31,irontogold,no change
Fizz,MID,48.2,8.32,5.14,irontogold,tweak
Galio,MID,50.26,0.88,2.38,irontogold,buff
Galio,SUPPORT,48.2,0.88,1.74,irontogold,buff
Gangplank,TOP,45.67,1.8,3.85,irontogold,no change
Gangplank,MID,46.92,1.8,1.06,irontogold,no change
Garen,TOP,50.88,4.24,7.77,irontogold,no change
Gnar,TOP,48.72,1.41,3.54,irontogold,no change
Gragas,MID,49.82,0.16,0.21,irontogold,no change
Gragas,JUNGLE,46.39,0.16,1.22,irontogold,no change
Gragas,TOP,47.02,0.16,0.33,irontogold,no change
Gragas,SUPPORT,47.76,0.16,0.26,irontogold,no change
Graves,JUNGLE,50.21,5.54,6.41,irontogold,no change
Graves,MID,53.89,5.54,2.08,irontogold,no change
Gwen,JUNGLE,48.36,3.68,0.4,irontogold,buff
Gwen,TOP,45.1,3.68,2.62,irontogold,buff
Hecarim,JUNGLE,48.06,1.8,3.36,irontogold,no change
Heimerdinger,MID,51.66,1.54,1.19,irontogold,no change
Heimerdinger,TOP,50.49,1.54,1.02,irontogold,no change
Illaoi,TOP,50.1,6.63,3.36,irontogold,no change
Irelia,TOP,50.93,38.23,7.53,irontogold,no change
Irelia,MID,51.78,38.23,6.75,irontogold,no change
Ivern,JUNGLE,46.22,0.35,0.78,irontogold,no change
Janna,SUPPORT,49.78,0.16,2.5,irontogold,no change
Jarvan IV,JUNGLE,51.71,5.8,7.47,irontogold,no change
Jax,TOP,50.41,5.15,5.63,irontogold,no change
Jax,JUNGLE,50.11,5.15,2.12,irontogold,no change
Jayce,MID,47.49,0.72,0.74,irontogold,no change
Jayce,TOP,46.09,0.72,2.34,irontogold,no change
Jhin,ADC,50.85,6.01,17.63,irontogold,no change
Jinx,ADC,49.31,1.17,9.33,irontogold,no change
Kai'Sa,ADC,48.77,2.56,12.03,irontogold,no change
Kalista,ADC,46.87,0.39,1.85,irontogold,no change
Karma,SUPPORT,47.06,0.84,4.77,irontogold,no change
Karthus,JUNGLE,49.12,0.61,1.47,irontogold,no change
Karthus,MID,48.37,0.61,0.3,irontogold,no change
Kassadin,MID,49.52,3.64,3.3,irontogold,no change
Katarina,MID,49.01,16.33,9.31,irontogold,no change
Kayle,MID,53.82,1.37,1.22,irontogold,no change
Kayle,TOP,51.04,1.37,4.06,irontogold,no change
Kayn,JUNGLE,49.27,10.38,12.43,irontogold,no change
Kennen,MID,51.05,0.86,0.61,irontogold,nerf
