,champ,role,winrate,banrate,pickrate
0,Aatrox,TOP,47.55,5.79,5.87
1,Aatrox,MID,50.33,5.79,0.74
2,Ahri,MID,50.49,2.45,5.50
3,Akali,MID,47.29,31.18,10.52
4,Akali,TOP,47.59,31.18,4.79
5,Alistar,SUPPORT,50.93,0.91,4.45
6,Amumu,JUNGLE,52.54,14.18,6.65
7,Anivia,MID,52.53,11.11,5.73
8,Anivia,SUPPORT,48.84,11.11,0.88
9,Annie,MID,52.65,1.50,2.55
10,Annie,SUPPORT,48.71,1.50,0.50
11,Aphelios,ADC,47.07,1.21,2.73
12,Ashe,ADC,50.33,4.26,12.70
13,Ashe,SUPPORT,49.59,4.26,2.67
14,Aurelion Sol,MID,50.96,0.26,0.79
15,Azir,MID,44.42,0.24,1.40
16,Bard,SUPPORT,50.50,0.42,2.82
17,Blitzcrank,SUPPORT,49.44,15.86,7.00
18,Brand,SUPPORT,52.26,14.20,7.03
19,Brand,MID,53.86,14.20,1.63
20,Braum,SUPPORT,49.93,0.62,2.63
21,Caitlyn,ADC,47.55,10.12,11.74
22,Camille,TOP,50.34,6.23,6.24
23,Cassiopeia,TOP,51.51,1.47,0.36
24,Cassiopeia,MID,49.68,1.47,1.93
25,Cho'Gath,TOP,50.71,1.24,2.66
26,Cho'Gath,MID,50.63,1.24,0.57
27,Corki,MID,49.24,0.29,0.71
28,Corki,ADC,47.89,0.29,0.14
29,Darius,TOP,49.90,36.94,8.42
30,Diana,MID,51.77,5.00,5.67
31,Dr. Mundo,JUNGLE,50.93,1.26,1.62
32,Dr. Mundo,TOP,46.73,1.26,1.34
33,Draven,ADC,48.07,4.44,4.09
34,Ekko,JUNGLE,51.19,8.51,7.10
35,Ekko,MID,51.54,8.51,5.26
36,Elise,JUNGLE,50.26,1.65,2.93
37,Evelynn,JUNGLE,48.92,7.09,4.68
38,Ezreal,ADC,47.38,5.73,20.21
39,Fiddlesticks,JUNGLE,51.44,2.03,3.57
40,Fiora,TOP,49.68,7.05,5.37
41,Fizz,MID,52.34,24.00,7.36
42,Galio,MID,51.69,1.97,3.42
43,Galio,SUPPORT,50.67,1.97,1.07
44,Gangplank,TOP,45.11,0.69,2.15
45,Gangplank,MID,46.83,0.69,0.36
46,Garen,TOP,51.31,5.57,7.51
47,Gnar,TOP,47.82,0.71,2.30
48,Gragas,MID,50.92,0.43,0.40
49,Gragas,TOP,49.34,0.43,0.69
50,Gragas,JUNGLE,46.86,0.43,2.42
51,Graves,JUNGLE,49.63,19.67,12.02
