,champ,role,winrate,banrate,pickrate
0,Aatrox,TOP,45.58,2.87,7.77
1,Aatrox,MID,46.81,2.87,1.88
2,Ahri,MID,41.10,1.22,3.37
3,Akali,TOP,48.84,50.64,10.08
4,Akali,MID,47.13,50.64,9.99
5,Alistar,SUPPORT,41.58,0.52,3.42
6,Amumu,,0.00,0.00,0.00
7,Anivia,MID,47.37,0.50,1.17
8,Annie,,0.00,0.00,0.00
9,Aphelios,ADC,45.14,70.53,14.42
10,Ashe,ADC,47.37,0.42,4.46
11,Ashe,SUPPORT,41.30,0.42,1.15
12,Aurelion Sol,MID,48.08,0.65,1.56
13,Azir,TOP,55.00,1.13,0.36
14,Azir,MID,47.22,1.13,1.42
15,Bard,SUPPORT,62.92,1.73,7.83
16,Blitzcrank,SUPPORT,52.84,9.94,8.33
17,Brand,SUPPORT,59.26,0.56,1.90
18,Braum,SUPPORT,52.17,0.96,6.70
19,Caitlyn,ADC,54.18,10.25,19.22
20,Camille,TOP,54.68,2.97,9.65
21,Camille,JUNGLE,54.55,2.97,1.27
22,Camille,MID,54.35,2.97,1.71
23,Cassiopeia,MID,58.02,18.47,6.98
24,Cassiopeia,ADC,59.82,18.47,3.05
25,Cassiopeia,TOP,51.61,18.47,2.19
26,Cho'Gath,MID,60.47,0.44,1.18
27,Cho'Gath,TOP,55.56,0.44,1.97
28,Corki,,0.00,0.00,0.00
29,Darius,TOP,52.00,15.70,5.99
30,Diana,MID,53.26,23.07,10.27
31,Diana,TOP,51.95,23.07,2.76
32,Diana,JUNGLE,51.81,23.07,2.12
33,Dr. Mundo,JUNGLE,40.00,1.13,1.87
34,Draven,ADC,45.19,11.27,4.82
35,Ekko,JUNGLE,50.76,17.68,13.59
36,Ekko,MID,39.68,17.68,2.78
37,Elise,JUNGLE,57.72,14.68,13.74
38,Evelynn,JUNGLE,43.75,13.49,3.01
39,Ezreal,ADC,53.44,0.67,9.22
40,Fiddlesticks,SUPPORT,46.43,0.92,1.73
41,Fiora,TOP,53.79,14.68,8.73
42,Fiora,MID,54.55,14.68,0.97
43,Fizz,MID,46.88,5.36,4.20
44,Galio,SUPPORT,58.33,0.38,1.47
45,Galio,MID,38.10,0.38,1.99
46,Gangplank,TOP,47.98,4.31,6.48
47,Gangplank,MID,48.15,4.31,0.80
48,Garen,TOP,58.06,2.39,2.43
49,Gnar,TOP,50.00,0.24,1.79
50,Gragas,JUNGLE,49.59,0.65,6.91
51,Gragas,SUPPORT,46.15,0.65,1.64
52,Graves,JUNGLE,51.41,0.67,4.81
53,Hecarim,TOP,65.71,0.92,0.56
54,Hecarim,JUNGLE,52.50,0.92,2.33
55,Heimerdinger,ADC,53.16,2.73,2.77
56,Illaoi,TOP,44.71,1.25,1.79
57,Irelia,TOP,49.65,8.22,9.72
58,Irelia,MID,49.75,8.22,6.24
59,Ivern,,0.00,0.00,0.00
60,Janna,SUPPORT,58.91,0.67,7.18
61,Jarvan IV,JUNGLE,52.52,0.78,6.91
62,Jax,TOP,50.51,6.49,5.61
63,Jayce,TOP,52.38,0.55,2.35
64,Jayce,MID,50.00,0.55,0.97
65,Jhin,ADC,54.36,0.25,9.87
66,Jinx,ADC,49.00,0.16,5.00
67,Kai'Sa,ADC,50.75,3.10,23.17
68,Kalista,ADC,60.53,0.11,1.01
69,Karma,SUPPORT,53.25,0.23,4.11
70,Karthus,JUNGLE,46.43,13.46,5.61
71,Kassadin,MID,63.64,22.90,7.08
72,Kassadin,TOP,62.50,22.90,0.95
73,Katarina,MID,53.09,5.71,5.26
74,Kayle,TOP,54.72,0.77,2.36
75,Kayn,JUNGLE,55.93,1.35,3.96
76,Kayn,MID,55.56,1.35,0.32
77,Kennen,TOP,56.82,1.67,2.64
78,Kha'Zix,JUNGLE,51.74,8.47,8.02
79,Kindred,JUNGLE,51.67,1.07,3.62
80,Kled,TOP,57.39,2.96,3.73
81,Kled,MID,41.67,2.96,0.90
82,Kog'Maw,,0.00,0.00,0.00
83,LeBlanc,MID,43.84,8.52,6.75
84,Lee Sin,JUNGLE,50.62,24.48,35.76
85,Leona,SUPPORT,54.89,19.87,14.76
86,Lissandra,MID,52.63,0.53,1.62
87,Lucian,ADC,51.35,4.78,19.06
88,Lucian,TOP,48.70,4.78,4.06
89,Lucian,MID,43.22,4.78,4.71
90,Lulu,SUPPORT,54.69,1.12,4.15
91,Lux,MID,60.00,0.48,2.19
92,Lux,SUPPORT,47.62,0.48,2.09
93,Malphite,TOP,55.17,1.36,2.97
94,Malzahar,MID,43.75,1.61,1.79
95,Maokai,,0.00,0.00,0.00
96,Master Yi,JUNGLE,61.90,4.83,3.35
97,Miss Fortune,ADC,55.88,7.29,18.80
98,Mordekaiser,TOP,52.20,24.55,14.13
99,Mordekaiser,MID,57.33,24.55,2.96
100,Morgana,SUPPORT,46.85,31.20,8.77
101,Nami,SUPPORT,45.83,0.13,4.52
102,Nasus,,0.00,0.00,0.00
103,Nautilus,SUPPORT,50.00,40.59,18.12
104,Neeko,,0.00,0.00,0.00
105,Nidalee,JUNGLE,55.41,6.14,7.46
106,Nocturne,MID,53.13,4.00,1.80
107,Nocturne,JUNGLE,40.63,4.00,2.79
108,Nunu & Willump,JUNGLE,55.56,1.04,2.71
109,Olaf,JUNGLE,50.00,26.71,11.12
110,Orianna,MID,43.75,0.64,5.90
111,Ornn,TOP,57.05,2.16,7.62
112,Pantheon,MID,56.52,7.81,1.80
113,Pantheon,TOP,49.09,7.81,2.59
114,Poppy,TOP,50.00,0.52,1.89
115,Poppy,JUNGLE,41.67,0.52,0.74
116,Pyke,SUPPORT,41.84,9.51,11.88
117,Qiyana,MID,50.81,24.69,8.92
118,Qiyana,JUNGLE,47.44,24.69,5.48
119,Quinn,TOP,50.00,1.11,1.63
120,Rakan,SUPPORT,59.79,1.82,8.98
121,Rammus,,0.00,0.00,0.00
122,Rek'Sai,JUNGLE,49.86,11.77,11.54
123,Renekton,TOP,54.95,7.86,5.13
124,Renekton,MID,46.43,7.86,1.52
125,Rengar,TOP,62.16,14.78,1.80
126,Rengar,JUNGLE,49.48,14.78,4.53
127,Riven,TOP,52.94,6.98,4.84
128,Riven,MID,40.91,6.98,0.85
129,Rumble,MID,56.67,0.58,2.57
130,Rumble,TOP,46.15,0.58,2.64
131,Ryze,MID,50.50,12.59,9.42
132,Ryze,TOP,47.37,12.59,7.37
133,Sejuani,JUNGLE,41.67,0.12,1.10
134,Senna,SUPPORT,52.27,40.91,13.90
135,Senna,ADC,47.85,40.91,9.94
136,Shaco,JUNGLE,62.12,9.44,4.57
137,Shaco,SUPPORT,47.83,9.44,1.27
138,Shen,TOP,58.56,0.38,3.21
139,Shen,SUPPORT,42.31,0.38,0.84
140,Shyvana,,0.00,0.00,0.00
141,Singed,,0.00,0.00,0.00
142,Sion,TOP,36.36,0.11,1.52
143,Sivir,ADC,57.38,0.15,2.60
144,Skarner,,0.00,0.00,0.00
145,Sona,SUPPORT,57.85,0.05,1.44
146,Soraka,SUPPORT,49.62,1.03,6.81
147,Swain,SUPPORT,48.48,0.69,2.00
148,Sylas,TOP,48.57,0.47,1.04
149,Sylas,MID,43.64,0.47,2.54
150,Syndra,MID,54.51,5.98,8.74
151,Syndra,ADC,47.19,5.98,4.19
152,Syndra,JUNGLE,41.11,5.98,1.23
153,Tahm Kench,SUPPORT,47.74,0.65,3.33
154,Taliyah,MID,60.00,0.39,0.89
155,Taliyah,JUNGLE,51.67,0.39,3.49
156,Talon,MID,59.22,6.64,3.65
157,Taric,SUPPORT,64.58,0.63,1.60
158,Teemo,,0.00,0.00,0.00
159,Thresh,SUPPORT,48.68,12.04,25.25
160,Tristana,ADC,50.00,0.80,5.47
161,Tristana,MID,28.85,0.80,1.55
162,Tristana,TOP,29.63,0.80,0.63
163,Trundle,JUNGLE,52.38,0.07,0.86
164,Tryndamere,TOP,53.33,6.40,3.16
165,Twisted Fate,MID,45.71,0.78,3.57
166,Twitch,JUNGLE,60.87,0.85,1.26
167,Udyr,,0.00,0.00,0.00
168,Urgot,TOP,43.75,0.35,1.25
169,Varus,ADC,52.73,0.07,3.21
170,Vayne,ADC,53.90,2.92,6.35
171,Vayne,TOP,43.48,2.92,1.73
172,Veigar,MID,50.94,1.28,2.48
173,Veigar,ADC,54.24,1.28,1.80
174,Vel'Koz,MID,63.64,0.45,1.35
175,Vel'Koz,SUPPORT,66.67,0.45,1.67
176,Vi,JUNGLE,52.00,0.38,2.16
177,Viktor,MID,50.98,0.13,2.04
178,Vladimir,MID,59.41,11.12,5.05
179,Vladimir,TOP,55.85,11.12,6.77
180,Volibear,TOP,56.52,0.16,0.89
181,Warwick,JUNGLE,56.25,0.98,2.53
182,Wukong,,0.00,0.00,0.00
183,Xayah,ADC,50.37,6.72,13.28
184,Xerath,SUPPORT,57.50,0.32,1.46
185,Xerath,MID,45.00,0.32,1.90
186,Xin Zhao,JUNGLE,52.27,0.28,2.22
187,Yasuo,MID,52.30,25.30,11.18
188,Yasuo,TOP,42.48,25.30,4.16
189,Yasuo,ADC,44.87,25.30,4.32
190,Yorick,TOP,62.50,0.34,1.17
191,Yuumi,SUPPORT,46.67,1.68,3.33
192,Zac,JUNGLE,47.50,1.66,3.66
193,Zed,MID,50.36,11.63,5.98
194,Ziggs,,0.00,0.00,0.00
195,Zilean,SUPPORT,66.67,0.71,2.27
196,Zilean,MID,55.00,0.71,0.74
197,Zoe,MID,48.53,3.39,5.86
198,Zyra,SUPPORT,59.09,0.56,3.04
