,champ,change
0,Aatrox,0
1,Ahri,0
2,Akali,0
3,Akshan,0
4,Alistar,0
5,Amumu,0
6,Anivia,0
7,Annie,0
8,Aphelios,0
9,Ashe,0
10,Aurelion Sol,0
11,Azir,0
12,Bard,0
13,Blitzcrank,0
14,Brand,0
15,Braum,0
16,Caitlyn,0
17,Camille,0
18,Cassiopeia,0
19,Cho'Gath,0
20,Corki,0
21,Darius,0
22,Diana,0
23,Dr. Mundo,0
24,Draven,0
25,Ekko,0
26,Elise,0
27,Evelynn,0
28,Ezreal,0
29,Fiddlesticks,0
30,Fiora,0
31,Fizz,0
32,Galio,0
33,Gangplank,0
34,Garen,0
35,Gnar,0
36,Gragas,0
37,Graves,0
38,Gwen,0
39,Hecarim,0
40,Heimerdinger,0
41,Illaoi,0
42,Irelia,0
43,Ivern,0
44,Janna,0
45,Jarvan IV,0
46,Jax,0
47,Jayce,0
48,Jhin,0
49,Jinx,0
50,Kai'Sa,0
51,Kalista,0
52,Karma,0
53,Karthus,0
54,Kassadin,0
55,Katarina,0
56,Kayle,0
57,Kayn,0
58,Kennen,0
59,Kha'Zix,0
60,Kindred,0
61,Kled,0
62,Kog'Maw,0
63,LeBlanc,0
64,Lee Sin,0
65,Leona,0
66,Lillia,0
67,Lissandra,0
68,Lucian,0
69,Lulu,0
70,Lux,0
71,Malphite,0
72,Malzahar,0
73,Maokai,0
74,Master Yi,0
75,Miss Fortune,0
76,Mordekaiser,0
77,Morgana,0
78,Nami,0
79,Nasus,0
80,Nautilus,0
81,Neeko,0
82,Nidalee,0
83,Nocturne,0
84,Nunu,0
85,Olaf,0
86,Orianna,0
87,Ornn,0
88,Pantheon,0
89,Poppy,0
90,Pyke,0
91,Qiyana,0
92,Quinn,0
93,Rakan,0
94,Rammus,0
95,Rek'Sai,0
96,Rell,0
97,Renekton,0
98,Rengar,0
99,Riven,0
100,Rumble,0
101,Ryze,0
102,Samira,0
103,Sejuani,0
104,Senna,0
105,Seraphine,0
106,Sett,0
107,Shaco,0
108,Shen,0
109,Shyvana,0
110,Singed,0
111,Sion,0
112,Sivir,0
113,Skarner,0
114,Sona,0
115,Soraka,0
116,Swain,0
117,Sylas,0
118,Syndra,0
119,Tahm Kench,0
120,Taliyah,0
121,Talon,0
122,Taric,0
123,Teemo,0
124,Thresh,0
125,Tristana,0
126,Trundle,0
127,Tryndamere,0
128,Twisted Fate,0
129,Twitch,0
130,Udyr,0
131,Urgot,0
132,Varus,0
133,Vayne,0
134,Veigar,0
135,Vel'Koz,0
136,Vi,0
137,Viego,0
138,Viktor,0
139,Vladimir,0
140,Volibear,0
141,Warwick,0
142,Wukong,0
143,Xayah,0
144,Xerath,0
145,Xin Zhao,0
146,Yasuo,0
147,Yone,0
148,Yorick,0
149,Yuumi,0
150,Zac,0
151,Zed,0
152,Ziggs,0
153,Zilean,0
154,Zoe,0
155,Zyra,0
