,champ,role,winrate,banrate,pickrate
0,Aatrox,TOP,46.68,4.78,6.73
1,Aatrox,MID,49.97,4.78,1.60
2,Ahri,MID,53.29,2.61,5.59
3,Akali,TOP,47.22,39.73,7.71
4,Akali,MID,47.01,39.73,8.89
5,Alistar,SUPPORT,50.19,0.59,3.40
6,Amumu,JUNGLE,47.07,0.57,2.50
7,Anivia,MID,53.86,0.56,1.64
8,Anivia,TOP,53.25,0.60,0.19
9,Annie,MID,52.33,0.42,1.23
10,Annie,SUPPORT,53.61,0.46,0.30
11,Annie,TOP,50.66,0.46,0.16
12,Aphelios,ADC,50.48,64.27,13.70
13,Ashe,ADC,51.67,0.94,7.34
14,Ashe,SUPPORT,51.52,0.94,0.75
15,Aurelion Sol,TOP,56.41,0.50,0.16
16,Aurelion Sol,MID,54.65,0.50,1.38
17,Azir,MID,47.91,0.39,1.35
18,Azir,TOP,48.95,0.32,0.15
19,Bard,SUPPORT,52.66,0.72,5.54
20,Blitzcrank,SUPPORT,52.47,14.52,8.99
21,Brand,SUPPORT,49.13,2.56,3.09
22,Brand,MID,48.73,3.09,0.58
23,Braum,SUPPORT,50.12,1.07,5.51
24,Caitlyn,ADC,50.49,16.07,23.70
25,Camille,TOP,51.27,1.80,6.88
26,Camille,MID,53.02,1.80,1.22
27,Camille,JUNGLE,46.65,1.80,0.86
28,Cassiopeia,MID,53.28,13.68,5.50
29,Cassiopeia,TOP,54.98,13.68,1.39
30,Cassiopeia,ADC,54.00,13.68,1.55
31,Cho'Gath,TOP,51.65,0.63,2.17
32,Cho'Gath,MID,51.61,0.63,0.96
33,Corki,MID,47.74,0.20,0.66
34,Corki,ADC,48.39,0.26,0.13
35,Darius,TOP,52.00,27.73,8.33
36,Diana,MID,52.61,24.47,10.39
37,Diana,TOP,51.08,24.47,2.13
38,Diana,JUNGLE,45.52,24.47,2.88
39,Dr. Mundo,JUNGLE,52.73,1.64,2.01
40,Dr. Mundo,TOP,51.32,1.64,1.26
41,Draven,ADC,50.53,10.13,5.18
42,Ekko,JUNGLE,51.70,22.07,12.99
43,Ekko,MID,52.08,22.07,3.48
44,Elise,JUNGLE,51.49,12.21,10.36
45,Evelynn,JUNGLE,48.56,10.95,3.43
46,Ezreal,ADC,49.69,1.16,10.24
47,Fiddlesticks,JUNGLE,49.89,1.16,0.81
48,Fiddlesticks,SUPPORT,51.14,1.16,2.05
49,Fiora,TOP,50.75,13.79,8.61
50,Fizz,MID,53.15,8.49,5.41
51,Galio,MID,49.90,0.46,1.96
52,Galio,SUPPORT,47.09,0.46,0.91
53,Gangplank,TOP,48.94,2.72,5.09
54,Gangplank,MID,47.21,2.72,0.78
55,Garen,TOP,47.72,5.87,4.51
56,Garen,MID,50.01,5.87,0.76
57,Gnar,TOP,48.42,0.51,2.55
58,Gragas,JUNGLE,48.28,0.57,5.04
59,Gragas,SUPPORT,47.59,0.57,0.92
60,Graves,JUNGLE,50.97,0.63,4.61
61,Hecarim,JUNGLE,52.48,1.42,3.30
62,Hecarim,TOP,49.58,1.42,0.40
63,Heimerdinger,MID,54.16,3.04,0.87
64,Heimerdinger,TOP,50.17,3.04,0.82
65,Heimerdinger,ADC,51.71,3.04,2.30
66,Illaoi,TOP,52.84,3.16,2.41
67,Irelia,TOP,46.01,6.99,7.79
68,Irelia,MID,45.78,6.99,5.21
69,Ivern,JUNGLE,54.15,0.33,1.29
70,Janna,SUPPORT,53.06,0.56,7.41
71,Jarvan IV,JUNGLE,51.18,1.47,7.71
72,Jax,TOP,51.84,7.80,5.37
73,Jax,JUNGLE,46.07,7.80,2.37
74,Jayce,MID,48.95,0.45,0.77
75,Jayce,TOP,47.44,0.45,1.84
76,Jhin,ADC,52.15,1.01,12.60
77,Jinx,ADC,53.58,0.51,8.30
78,Kai'Sa,ADC,49.41,4.00,22.87
79,Kalista,ADC,48.54,0.11,1.10
