champ,role,pickrate,winrate,banrate,rank,change
Azir,MID,0.93,43.88,0.16,irontogold,buff
Elise,JUNGLE,3.91,50.23,8.17,irontogold,nerf
Ezreal,ADC,16.38,47.11,3.43,irontogold,buff
Graves,JUNGLE,3.02,46.09,1.53,irontogold,buff
Hecarim,JUNGLE,2.65,46.14,4.88,irontogold,buff
Lee Sin,JUNGLE,14.66,48.18,19.1,irontogold,nerf
Lee Sin,TOP,4.41,48.13,19.1,irontogold,nerf
Leona,SUPPORT,11.96,51.65,26.48,irontogold,nerf
Morgana,JUNGLE,7.48,53.54,56.95,irontogold,nerf
Morgana,SUPPORT,9.38,50.44,56.95,irontogold,nerf
Qiyana,MID,3.43,46.5,2.09,irontogold,nerf
Rumble,JUNGLE,6.51,47.08,10.61,irontogold,nerf
Rumble,MID,1.15,51.24,10.61,irontogold,nerf
Rumble,TOP,1.73,47.21,10.61,irontogold,nerf
Ryze,MID,2.17,43.76,0.3,irontogold,buff
Ryze,TOP,0.75,43.94,0.3,irontogold,buff
Seraphine,SUPPORT,4.88,49.16,4.41,irontogold,buff
Shaco,JUNGLE,8.67,50.62,27.41,irontogold,nerf
Shaco,SUPPORT,1.84,51.88,27.41,irontogold,nerf
Teemo,TOP,5.4,50.56,7.35,irontogold,buff
Teemo,MID,0.7,52.38,7.35,irontogold,buff
Urgot,TOP,6.78,53.06,9.36,irontogold,nerf
Draven,ADC,3.45,48.33,3.45,irontogold,buff
Gnar,TOP,4.69,49.19,4.06,irontogold,nerf
Hecarim,JUNGLE,4.04,47.63,4.85,irontogold,buff
Illaoi,TOP,2.85,49.88,5.93,irontogold,buff
Jarvan IV,JUNGLE,1.9,49.75,0.19,irontogold,buff
Malphite,TOP,4.93,51.21,6.99,irontogold,buff
Malphite,MID,1.32,51.34,6.99,irontogold,buff
Malphite,SUPPORT,1.56,48.4,6.99,irontogold,buff
Nasus,TOP,6.96,53.7,7.69,irontogold,nerf
Rammus,JUNGLE,3.02,50.36,7.81,irontogold,buff
Renekton,TOP,5.63,46.45,6.27,irontogold,nerf
Renekton,MID,1.29,49.1,6.27,irontogold,nerf
Udyr,JUNGLE,4.11,49.23,5.75,irontogold,nerf
Varus,ADC,7.01,48.73,1.38,irontogold,nerf
Wukong,TOP,5.07,53.44,4.35,irontogold,nerf
Wukong,MID,0.78,55.9,4.35,irontogold,nerf
Wukong,JUNGLE,1.37,52.32,4.35,irontogold,nerf
Ziggs,MID,1.26,49.31,0.23,irontogold,buff
Ziggs,SUPPORT,0.3,50.84,0.23,irontogold,buff
Ziggs,ADC,0.25,50.95,0.23,irontogold,buff
Aphelios,ADC,3.7,46.73,1.22,irontogold,buff
Lee Sin,JUNGLE,14.8,48.1,20.53,irontogold,nerf
Lee Sin,TOP,2.67,48.23,20.53,irontogold,nerf
Olaf,JUNGLE,1.42,46.55,1.28,irontogold,buff
Olaf,TOP,0.26,43.44,1.28,irontogold,buff
Riven,TOP,4.47,48.88,1.85,irontogold,nerf
Riven,MID,0.77,52.39,1.85,irontogold,nerf
Rumble,MID,0.92,51.49,3.48,irontogold,nerf
Rumble,JUNGLE,3.99,46.73,3.48,irontogold,nerf
Rumble,TOP,0.82,48.01,3.48,irontogold,nerf
Xayah,ADC,3.15,47.25,0.36,irontogold,buff
Akali,MID,11.47,48.26,22.58,irontogold,nerf
Akali,TOP,4.33,48.13,22.58,irontogold,nerf
Darius,TOP,5.05,46.32,24.26,irontogold,buff
Garen,TOP,5.85,50.72,4.05,irontogold,buff
Garen,MID,0.74,53.81,4.05,irontogold,buff
Graves,JUNGLE,3.6,49.27,1.32,irontogold,buff
Illaoi,TOP,3.21,50.49,5.78,irontogold,buff
Ivern,JUNGLE,0.85,47.09,0.25,irontogold,buff
Karma,SUPPORT,6.85,47.34,1.64,irontogold,nerf
Malzahar,MID,4.08,53.87,5.51,irontogold,nerf
Seraphine,SUPPORT,4.67,49.59,2.64,irontogold,buff
Shaco,JUNGLE,9.15,50.79,35.21,irontogold,nerf
Shaco,SUPPORT,1.77,52.3,35.21,irontogold,nerf
Taric,SUPPORT,1.13,50.83,0.13,irontogold,buff
Xin Zhao,JUNGLE,13.07,52.06,15.81,irontogold,nerf
Ziggs,ADC,1.57,54.69,0.64,irontogold,nerf
Ziggs,MID,2.48,51.13,0.64,irontogold,nerf
Ziggs,SUPPORT,0.57,50.14,0.64,irontogold,nerf
Annie,MID,2.56,52.73,1.39,irontogold,nerf
Annie,SUPPORT,0.32,50.21,1.39,irontogold,nerf
Aurelion Sol,MID,0.64,50.79,0.22,irontogold,nerf
Blitzcrank,SUPPORT,6,49.36,12.41,irontogold,buff
Caitlyn,ADC,11.85,48.23,8.01,irontogold,buff
Cassiopeia,TOP,0.38,50.87,0.92,irontogold,buff
Cassiopeia,MID,1.96,49.58,0.92,irontogold,buff
Gwen,TOP,5.18,46.91,18.76,irontogold,nerf
Gwen,JUNGLE,1.23,48.04,18.76,irontogold,nerf
Gwen,MID,0.9,47.01,18.76,irontogold,nerf
Irelia,TOP,9.79,52.45,20.06,irontogold,nerf
Irelia,MID,6.93,52.61,20.06,irontogold,nerf
Kayle,MID,1.56,55.66,1.61,irontogold,nerf
Kayle,TOP,3.81,52.13,1.61,irontogold,nerf
Kennen,MID,0.39,52.23,0.27,irontogold,buff
Kennen,TOP,1.29,49.82,0.27,irontogold,buff
Mordekaiser,TOP,7.16,49.66,11.89,irontogold,buff
Mordekaiser,MID,1.04,53.21,11.89,irontogold,buff
Nidalee,JUNGLE,2.44,44.83,0.52,irontogold,buff
Rell,SUPPORT,1.53,49.87,1.07,irontogold,buff
Shyvana,JUNGLE,1.86,50.4,0.28,irontogold,buff
Shyvana,TOP,0.24,47.71,0.28,irontogold,buff
Sylas,MID,9.68,48.67,16.3,irontogold,nerf
Sylas,TOP,3.98,48.03,16.3,irontogold,nerf
Syndra,MID,1.79,47.1,0.51,irontogold,buff
Thresh,SUPPORT,11.84,48.19,6.62,irontogold,nerf
Vi,JUNGLE,3.5,52.04,0.65,irontogold,nerf
Viego,JUNGLE,11.97,50.64,26.91,irontogold,nerf
Viego,MID,3.34,50.73,26.91,irontogold,nerf
Viego,TOP,1.99,49.38,26.91,irontogold,nerf
Wukong,TOP,3.54,52.4,2.56,irontogold,nerf
Wukong,MID,0.55,54.84,2.56,irontogold,nerf
Wukong,JUNGLE,0.75,50.24,2.56,irontogold,nerf
Xayah,ADC,3.27,47.86,0.38,irontogold,buff
Diana,JUNGLE,10.4,51.08,14.1,irontogold,nerf
Diana,MID,3.65,50.93,14.1,irontogold,nerf
Fiora,TOP,6.09,50.7,8.88,irontogold,nerf
Jarvan IV,JUNGLE,2.09,49.43,0.2,irontogold,buff
Jhin,ADC,14.04,50.52,4.66,irontogold,buff
Lee Sin,JUNGLE,14.96,47.91,17.26,irontogold,nerf
Lulu,SUPPORT,10.99,50.18,21.38,irontogold,nerf
Sivir,ADC,3.9,50.62,1.03,irontogold,buff
Tahm Kench,TOP,7.27,51.48,15.76,irontogold,nerf
Tahm Kench,SUPPORT,0.87,47.61,15.76,irontogold,nerf
Vladimir,MID,3.04,49.24,3.87,irontogold,buff
Vladimir,TOP,1.08,48.9,3.87,irontogold,buff
Xin Zhao,JUNGLE,9.87,51.26,16.57,irontogold,nerf
Akshan,MID,6.16,48.79,27.98,irontogold,nerf
Akshan,TOP,1.2,48.85,27.98,irontogold,nerf
Akshan,ADC,3.37,46.69,27.98,irontogold,nerf
Ekko,JUNGLE,4.37,50.26,3.17,irontogold,buff
Ekko,MID,3.34,50.32,3.17,irontogold,buff
Evelynn,JUNGLE,5.78,47.82,6.1,irontogold,buff
Graves,MID,2.37,54.12,5.17,irontogold,nerf
Graves,JUNGLE,6.69,49.87,5.17,irontogold,nerf
Irelia,TOP,9.04,51.87,36.41,irontogold,nerf
Irelia,MID,7.31,52.38,36.41,irontogold,nerf
Kayn,JUNGLE,12.61,50.55,12.12,irontogold,nerf
Leona,SUPPORT,10.45,50.81,24.39,irontogold,nerf
Lissandra,MID,1.89,49.03,0.54,irontogold,buff
Nami,SUPPORT,3.98,51.14,0.2,irontogold,buff
Senna,SUPPORT,7.75,48.71,5.18,irontogold,buff
Tahm Kench,TOP,6.45,50.04,25.14,irontogold,nerf
Teemo,TOP,5.95,50.9,6.65,irontogold,buff
