champ,role,winrate,banrate,pickrate,change,rank
Aatrox,TOP,51.47,2.91,6.8,no change,challenger
Ahri,MID,63.27,0.78,3.23,no change,challenger
Akali,MID,46.79,13.83,8.32,no change,challenger
Akali,TOP,48,13.83,4.52,no change,challenger
Alistar,SUPPORT,54.55,4.3,10.44,no change,challenger
Anivia,MID,60.98,4.54,2.67,no change,challenger
Aphelios,ADC,40,0.27,2.98,no change,challenger
Ashe,ADC,41.3,0.18,4.76,no change,challenger
Aurelion Sol,MID,57.14,0.29,0.93,no change,challenger
Bard,SUPPORT,55.84,5.29,6.8,no change,challenger
Blitzcrank,SUPPORT,38.24,4.43,4.45,no change,challenger
Braum,SUPPORT,42.11,0.3,3.05,no change,challenger
Caitlyn,ADC,50,1.45,5.91,no change,challenger
Camille,TOP,55.21,5.69,6.4,no change,challenger
Cho'Gath,MID,71.43,0.53,0.9,no change,challenger
Cho'Gath,TOP,42.86,0.53,2.28,no change,challenger
Darius,TOP,66.07,19.95,5.24,no change,challenger
Diana,JUNGLE,49.68,24.41,10.43,no change,challenger
Diana,MID,28.21,24.41,2.32,no change,challenger
Draven,ADC,59.34,5.06,5.01,no change,challenger
Ekko,MID,54.43,2.68,3.92,no change,challenger
Ekko,JUNGLE,56.19,2.68,4.34,no change,challenger
Ekko,TOP,52.38,2.68,0.53,no change,challenger
Elise,JUNGLE,52.8,10.2,7.3,nerf,challenger
Evelynn,JUNGLE,55.32,14.81,4.7,no change,challenger
Ezreal,ADC,52.43,1.33,13.9,buff,challenger
Fiddlesticks,JUNGLE,58.33,8.53,5.01,no change,challenger
Fiora,TOP,61.67,9.14,5.34,no change,challenger
Fizz,MID,57.14,3.11,1.81,no change,challenger
Galio,MID,58.06,2.02,3.72,no change,challenger
Galio,SUPPORT,38.1,2.02,2.91,no change,challenger
Gangplank,TOP,53.01,2.02,3.81,no change,challenger
Garen,TOP,58.33,1.13,2.52,no change,challenger
Gnar,TOP,52.68,5.18,7.57,no change,challenger
Gragas,JUNGLE,63.89,0.3,1.99,no change,challenger
Gragas,SUPPORT,52.17,0.3,1.68,no change,challenger
Graves,JUNGLE,45.61,1.39,3.38,buff,challenger
Gwen,TOP,56.03,32.1,7.17,no change,challenger
Gwen,JUNGLE,64.58,32.1,2.12,no change,challenger
Gwen,MID,50,32.1,2.16,no change,challenger
Hecarim,JUNGLE,54.84,1.9,1.68,buff,challenger
Illaoi,TOP,52.08,0.47,0.92,no change,challenger
Irelia,TOP,47.46,15.48,5.59,no change,challenger
Irelia,MID,48.98,15.48,2.85,no change,challenger
Ivern,JUNGLE,45.45,2.18,2.32,no change,challenger
Janna,SUPPORT,60.33,1.08,7.28,no change,challenger
Jarvan IV,JUNGLE,33.33,0.14,2.11,no change,challenger
Jax,TOP,42.86,5.51,4.11,no change,challenger
Jayce,TOP,52.15,2.83,7.41,no change,challenger
Jayce,MID,54.55,2.83,2.51,no change,challenger
Jhin,ADC,53.45,0.69,11.15,no change,challenger
Jinx,ADC,52.79,7.34,18.96,no change,challenger
