champ,change
Aatrox,no change
Ahri,no change
Akali,no change
Akshan,no change
Alistar,no change
Amumu,buff
Anivia,no change
Annie,no change
Aphelios,no change
Ashe,no change
Aurelion Sol,no change
Azir,no change
Bard,no change
Blitzcrank,no change
Brand,no change
Braum,buff
Caitlyn,buff
Camille,nerf
Cassiopeia,no change
Cho'Gath,no change
Corki,no change
Darius,no change
Diana,no change
Dr. Mundo,no change
Draven,no change
Ekko,no change
Elise,no change
Evelynn,no change
Ezreal,no change
Fiddlesticks,no change
Fiora,buff
Fizz,no change
Galio,no change
Gangplank,no change
Garen,no change
Gnar,no change
Gragas,no change
Graves,no change
Gwen,no change
Hecarim,no change
Heimerdinger,no change
Illaoi,no change
Irelia,no change
Ivern,no change
Janna,no change
Jarvan IV,no change
Jax,no change
Jayce,no change
Jhin,no change
Jinx,buff
Kai'Sa,no change
Kalista,no change
Karma,no change
Karthus,no change
Kassadin,no change
Katarina,buff
Kayle,no change
Kayn,no change
Kennen,no change
Kha'Zix,no change
Kindred,no change
Kled,no change
Kog'Maw,no change
LeBlanc,no change
Lee Sin,buff
Leona,no change
Lillia,no change
Lissandra,no change
Lucian,no change
Lulu,no change
Lux,no change
Malphite,no change
Malzahar,no change
Maokai,no change
Master Yi,no change
Miss Fortune,no change
Mordekaiser,no change
Morgana,no change
Nami,no change
Nasus,no change
Nautilus,no change
Neeko,no change
Nidalee,no change
Nocturne,no change
Nunu,no change
Olaf,no change
Orianna,no change
Ornn,no change
Pantheon,no change
Poppy,no change
Pyke,no change
Qiyana,no change
Quinn,no change
Rakan,no change
Rammus,no change
Rek'Sai,no change
Rell,no change
Renekton,nerf
Rengar,no change
Riven,no change
Rumble,no change
Ryze,no change
Samira,tweak
Sejuani,no change
Senna,no change
Seraphine,no change
Sett,no change
Shaco,no change
Shen,no change
Shyvana,no change
Singed,no change
Sion,no change
Sivir,no change
Skarner,nerf
Sona,no change
Soraka,buff
Swain,no change
Sylas,no change
Syndra,no change
Tahm Kench,no change
Taliyah,no change
Talon,buff
Taric,no change
Teemo,no change
Thresh,no change
Tristana,no change
Trundle,no change
Tryndamere,buff
Twisted Fate,no change
Twitch,no change
Udyr,no change
Urgot,buff
Varus,tweak
Vayne,no change
Veigar,buff
Vel'Koz,no change
Vi,tweak
Viego,tweak
Viktor,no change
Vladimir,no change
Volibear,no change
Warwick,no change
Wukong,no change
Xayah,no change
Xerath,no change
Xin Zhao,no change
Yasuo,no change
Yone,no change
Yorick,no change
Yuumi,no change
Zac,no change
Zed,no change
Ziggs,no change
Zilean,no change
Zoe,no change
Zyra,no change
