champ,role,winrate,banrate,pickrate,change
Aatrox,MID,53.22,4.31,0.53,no change
Aatrox,TOP,48.38,4.31,4.43,no change
Ahri,MID,50.36,1.83,5.14,no change
Akali,MID,48.79,18.08,9.9,no change
Akali,TOP,49.05,18.08,3.59,no change
Alistar,SUPPORT,50.32,2.59,5.83,no change
Amumu,JUNGLE,53.89,1.3,4.12,no change
Anivia,MID,51.5,2.99,2.53,no change
Anivia,SUPPORT,47.69,2.99,0.43,no change
Annie,MID,52.49,1.3,2.4,no change
Annie,SUPPORT,48.52,1.3,0.33,no change
Aphelios,ADC,46.05,0.84,2.44,tweak
Ashe,ADC,50.46,1.51,8.9,no change
Aurelion Sol,MID,49.75,0.2,0.6,no change
Azir,MID,43.92,0.2,1.27,no change
Bard,SUPPORT,48.71,0.36,2.45,no change
Blitzcrank,SUPPORT,50.25,14.29,6.66,no change
Brand,SUPPORT,51.8,9.18,5.84,no change
Brand,MID,52.58,9.18,1.21,no change
Braum,SUPPORT,50.29,0.49,2.62,no change
Caitlyn,ADC,48.79,8.32,12.35,no change
Camille,TOP,49.94,2.25,3.62,no change
Cassiopeia,TOP,50.04,0.84,0.23,no change
Cassiopeia,MID,48.32,0.84,1.37,no change
Cho'Gath,TOP,51.08,2.18,3.73,no change
Cho'Gath,MID,51.96,2.18,0.66,no change
Corki,MID,52.46,0.29,1.2,no change
Darius,TOP,48.6,32.2,6.65,no change
Diana,JUNGLE,51.27,17.54,7.4,no change
Diana,MID,52.13,17.54,4.17,no change
Dr. Mundo,TOP,51.3,2.61,1.83,tweak
Dr. Mundo,JUNGLE,50.69,2.61,2.32,tweak
Draven,ADC,48.33,3.45,3.45,buff
Ekko,JUNGLE,50.5,3.52,4.48,no change
Ekko,MID,50.2,3.52,3.57,no change
Elise,JUNGLE,49.11,8.23,3.41,no change
Evelynn,JUNGLE,49.28,6.3,4.16,no change
Ezreal,ADC,49.07,6.68,22.21,no change
Fiddlesticks,JUNGLE,51.02,2.88,3.87,no change
Fiora,TOP,50.09,5.8,4.24,no change
Fizz,MID,50.62,10.29,4.15,no change
Galio,MID,50.97,1.48,2.61,no change
Galio,SUPPORT,49.36,1.48,2.22,no change
Gangplank,TOP,45.65,1.24,2.47,no change
Gangplank,MID,47.12,1.24,0.48,no change
Garen,TOP,51.39,5.61,7.15,no change
Garen,MID,54.7,5.61,0.96,no change
Gnar,TOP,49.19,4.06,4.69,nerf
Gragas,JUNGLE,47.7,0.29,1.69,no change
Gragas,SUPPORT,48.41,0.29,0.36,no change
Gragas,TOP,46.34,0.29,0.41,no change
Graves,JUNGLE,48.95,1.81,4.52,no change
Gwen,TOP,48.42,12.9,4.03,no change
Gwen,MID,48.71,12.9,0.88,no change
Gwen,JUNGLE,48.79,12.9,0.98,no change
Hecarim,JUNGLE,47.63,4.85,4.04,buff
Heimerdinger,MID,51.81,1.45,1.14,no change
Heimerdinger,ADC,53.24,1.45,0.25,no change
Heimerdinger,TOP,49.62,1.45,0.89,no change
Illaoi,TOP,49.88,5.93,2.85,buff
Irelia,TOP,46.17,10.61,5.04,no change
Irelia,MID,46.31,10.61,3.85,no change
Ivern,JUNGLE,48.11,0.28,0.93,no change
Janna,SUPPORT,49.9,0.19,3.0,no change
Jarvan IV,JUNGLE,49.75,0.19,1.9,buff
Jax,TOP,49.51,4.39,4.7,no change
Jax,JUNGLE,50.29,4.39,1.96,no change
Jayce,MID,49.6,0.89,0.99,no change
Jayce,TOP,47.33,0.89,2.44,no change
Jhin,ADC,51.03,6.05,16.1,no change
Jinx,ADC,49.7,4.11,13.47,no change
Kai'Sa,ADC,49.3,10.04,21.5,no change
Kalista,TOP,45.06,0.38,0.21,no change
Kalista,ADC,45.71,0.38,1.43,no change
Karma,SUPPORT,47.53,0.66,5.04,no change
Karthus,MID,50.4,0.61,0.21,no change
