champ,role,winrate,banrate,pickrate
Aatrox,TOP,49.00,3.37,5.14
Ahri,MID,50.87,1.86,5.55
Akali,MID,47.01,12.01,6.74
Akali,TOP,47.33,12.01,2.35
Akshan,MID,52.35,28.14,5.28
Akshan,ADC,47.30,28.14,2.59
Alistar,SUPPORT,50.05,1.26,3.89
Amumu,JUNGLE,54.02,20.50,8.58
Amumu,SUPPORT,50.93,20.50,5.79
Anivia,MID,52.20,3.33,3.03
Anivia,SUPPORT,46.24,3.47,0.51
Annie,MID,51.25,1.63,3.41
Aphelios,ADC,47.95,2.10,4.60
Ashe,ADC,50.94,4.48,12.45
Aurelion Sol,MID,52.36,0.22,0.62
Aurelion Sol,SUPPORT,50.00,0.24,0.07
Azir,MID,48.03,0.34,1.14
Bard,SUPPORT,51.65,0.40,1.94
Blitzcrank,SUPPORT,51.19,16.13,7.58
Brand,SUPPORT,51.32,10.85,6.98
Brand,MID,49.11,10.85,1.08
Braum,SUPPORT,50.97,0.53,2.91
Caitlyn,ADC,47.61,9.42,14.67
Camille,TOP,49.45,5.54,5.26
Cassiopeia,MID,52.04,1.32,1.83
Cassiopeia,ADC,50.85,1.39,0.30
Cassiopeia,TOP,42.83,1.35,0.31
Cho'Gath,TOP,50.00,1.33,3.10
Cho'Gath,MID,50.52,1.22,0.52
Corki,MID,53.45,0.37,1.49
Darius,TOP,48.60,18.65,6.90
Diana,MID,51.36,8.21,3.60
Diana,JUNGLE,49.38,8.21,5.10
Dr. Mundo,TOP,50.43,5.04,4.39
Dr. Mundo,JUNGLE,52.32,4.78,0.56
Draven,ADC,49.42,8.54,5.91
Ekko,JUNGLE,51.06,7.45,7.29
Ekko,MID,48.60,7.45,3.65
Elise,JUNGLE,45.59,1.21,1.50
Evelynn,JUNGLE,48.99,5.56,3.96
Ezreal,ADC,48.03,6.38,18.23
Fiddlesticks,JUNGLE,51.19,4.11,4.39
Fiora,TOP,49.64,10.76,6.52
Fizz,MID,51.99,9.46,5.78
Galio,MID,50.19,1.01,2.81
Galio,SUPPORT,47.79,1.01,1.99
Gangplank,TOP,47.44,1.69,3.32
Gangplank,MID,49.23,1.69,0.96
Garen,TOP,51.54,4.09,8.05
Gnar,TOP,47.56,1.30,3.32
Gragas,TOP,55.89,0.21,0.38
Gragas,MID,50.04,0.21,0.28
Gragas,JUNGLE,44.40,0.21,1.50
Gragas,SUPPORT,44.13,0.21,0.24
Graves,JUNGLE,50.25,5.59,6.14
Graves,MID,51.87,5.59,2.07
Gwen,TOP,49.02,3.05,2.77
Gwen,JUNGLE,48.73,3.29,0.47
Hecarim,JUNGLE,50.27,1.85,3.54
Heimerdinger,MID,50.66,1.38,1.19
Heimerdinger,TOP,48.42,1.38,0.97
Illaoi,TOP,50.81,7.07,3.49
Irelia,TOP,49.35,37.31,7.36
Irelia,MID,50.78,37.31,6.72
Ivern,JUNGLE,49.78,0.39,0.81
Janna,SUPPORT,50.28,0.19,2.73
Jarvan IV,JUNGLE,50.79,5.78,7.17
Jax,TOP,49.98,5.47,5.64
Jax,JUNGLE,49.29,5.47,2.22
Jayce,MID,46.88,0.45,0.70
Jayce,TOP,42.49,0.44,1.81
Jhin,ADC,50.84,6.55,18.93
Jinx,ADC,49.78,1.11,9.08
Kai'Sa,ADC,48.15,2.51,11.71
Kalista,ADC,46.69,0.35,1.75
Karma,SUPPORT,46.48,0.85,4.50
Karthus,MID,50.64,0.47,0.27
Karthus,SUPPORT,50.88,0.47,0.22
Karthus,JUNGLE,47.11,0.42,1.24
Karthus,ADC,49.86,0.51,0.30
Kassadin,MID,50.33,3.78,3.36
Katarina,MID,49.04,15.04,9.03
Kayle,TOP,50.89,1.66,4.15
Kayle,MID,49.79,1.66,1.37
Kayn,JUNGLE,50.02,11.80,14.15
Kennen,MID,52.43,0.58,0.47
Kennen,TOP,46.68,0.57,1.82
Kha'Zix,JUNGLE,49.50,9.88,8.84
Kindred,JUNGLE,45.30,1.79,3.53
Kled,MID,53.80,1.15,0.21
Kled,TOP,52.51,1.14,1.78
Kog'Maw,ADC,50.65,0.60,2.14
Kog'Maw,MID,47.35,0.58,0.32
LeBlanc,MID,47.56,6.69,5.33
Lee Sin,JUNGLE,47.51,13.49,11.64
Leona,SUPPORT,49.43,17.31,9.34
Lillia,JUNGLE,53.08,3.01,4.42
Lillia,TOP,52.87,3.01,2.23
Lissandra,MID,47.44,0.89,2.26
Lucian,ADC,47.01,2.69,11.03
Lucian,MID,47.58,2.69,1.95
Lulu,SUPPORT,50.73,13.90,8.87
Lux,SUPPORT,49.78,7.67,13.55
Lux,MID,49.29,7.67,4.60
Malphite,TOP,49.60,4.67,4.73
Malphite,MID,51.36,4.67,1.12
Malphite,SUPPORT,49.68,4.67,1.57
Malzahar,MID,50.34,5.72,4.20
Maokai,SUPPORT,49.12,0.29,1.71
Maokai,TOP,46.62,0.28,0.30
Master Yi,JUNGLE,51.70,29.15,11.65
Miss Fortune,ADC,52.61,3.35,18.40
Mordekaiser,TOP,50.92,16.14,10.85
Mordekaiser,JUNGLE,52.36,16.14,1.50
Morgana,SUPPORT,51.24,39.85,12.89
Nami,SUPPORT,53.56,0.50,7.33
Nasus,TOP,53.18,7.40,7.08
Nautilus,SUPPORT,49.58,9.30,7.73
Neeko,MID,47.74,0.62,1.98
Neeko,SUPPORT,48.10,0.53,0.67
Nidalee,JUNGLE,44.96,0.49,2.39
Nocturne,JUNGLE,51.09,7.78,6.08
Nunu,JUNGLE,48.25,0.79,3.13
Olaf,JUNGLE,47.20,1.28,1.56
Olaf,TOP,43.50,1.30,0.22
Orianna,MID,46.59,0.26,2.37
Ornn,TOP,52.73,0.60,2.72
Pantheon,MID,50.45,3.67,2.69
Pantheon,SUPPORT,48.84,3.67,2.58
Pantheon,TOP,47.46,3.44,0.75
Poppy,TOP,47.56,0.61,1.50
Poppy,JUNGLE,47.54,0.61,1.98
Pyke,SUPPORT,49.05,15.87,8.94
Qiyana,MID,45.38,2.44,2.89
Qiyana,JUNGLE,41.37,2.44,2.41
Quinn,TOP,49.22,1.04,1.71
