champ,role,winrate,rank,banrate,pickrate,change
Aatrox,TOP,49.17,irontogold,2.66,3.75,buff
Ahri,MID,50,irontogold,1.86,5.5,no change
Akali,MID,47.4,irontogold,10.9,6.05,buff
Akali,TOP,46.52,irontogold,10.9,2.26,buff
Akshan,MID,51.7,irontogold,27.04,5.31,no change
Akshan,ADC,49.24,irontogold,27.04,2.55,no change
Alistar,SUPPORT,49.57,irontogold,1.38,4.2,no change
Amumu,JUNGLE,54.57,irontogold,12.1,9.36,no change
Amumu,SUPPORT,52.33,irontogold,12.1,2.44,no change
Anivia,MID,51.61,irontogold,3.18,3.26,no change
Anivia,SUPPORT,47.1,irontogold,3.18,0.56,no change
Annie,MID,50.62,irontogold,1.39,2.85,no change
Aphelios,ADC,47.89,irontogold,2.32,5.01,no change
Ashe,ADC,50.86,irontogold,6,14.13,no change
Aurelion Sol,MID,49.48,irontogold,0.22,0.56,no change
Azir,MID,45.61,irontogold,0.31,1.36,no change
Bard,SUPPORT,47.62,irontogold,0.37,1.98,no change
Blitzcrank,SUPPORT,52.4,irontogold,17.34,8,no change
Brand,SUPPORT,51.58,irontogold,10.61,6.78,no change
Brand,MID,51.34,irontogold,10.61,1.14,no change
Braum,SUPPORT,49.79,irontogold,0.52,3.15,no change
Caitlyn,ADC,48.56,irontogold,9.02,14.26,no change
Camille,TOP,49.51,irontogold,6.75,5.66,no change
Cassiopeia,MID,49.61,irontogold,1.57,2.09,no change
Cassiopeia,TOP,50.37,irontogold,1.57,0.41,no change
Cassiopeia,ADC,48.42,irontogold,1.57,0.33,no change
Cho'Gath,TOP,49.44,irontogold,1.21,2.61,no change
Cho'Gath,MID,50.06,irontogold,1.21,0.4,no change
Corki,MID,52.31,irontogold,0.31,1.29,no change
Darius,TOP,47.1,irontogold,18.94,6.82,no change
Diana,JUNGLE,50.19,irontogold,8.81,5.75,no change
Diana,MID,50.85,irontogold,8.81,3.57,no change
Dr. Mundo,TOP,52.05,irontogold,5.24,4.7,no change
Dr. Mundo,JUNGLE,52.39,irontogold,5.24,0.76,no change
Draven,ADC,49.19,irontogold,8.44,6.27,no change
Ekko,JUNGLE,51.16,irontogold,7.44,7.65,no change
Ekko,MID,49.79,irontogold,7.44,3.44,no change
Elise,JUNGLE,48.39,irontogold,1.98,1.71,no change
Evelynn,JUNGLE,49.05,irontogold,5.88,4.16,no change
Ezreal,ADC,47.99,irontogold,7.43,19.14,no change
Fiddlesticks,JUNGLE,50.96,irontogold,3.76,4.26,no change
Fiora,TOP,50.9,irontogold,10.23,6.31,no change
Fizz,MID,48.2,irontogold,8.32,5.14,tweak
Galio,MID,50.26,irontogold,0.88,2.38,buff
Galio,SUPPORT,48.2,irontogold,0.88,1.74,buff
Gangplank,TOP,45.67,irontogold,1.8,3.85,no change
Gangplank,MID,46.92,irontogold,1.8,1.06,no change
Garen,TOP,50.88,irontogold,4.24,7.77,no change
Gnar,TOP,48.72,irontogold,1.41,3.54,no change
Gragas,MID,49.82,irontogold,0.16,0.21,no change
Gragas,JUNGLE,46.39,irontogold,0.16,1.22,no change
Gragas,TOP,47.02,irontogold,0.16,0.33,no change
Gragas,SUPPORT,47.76,irontogold,0.16,0.26,no change
Graves,JUNGLE,50.21,irontogold,5.54,6.41,no change
Graves,MID,53.89,irontogold,5.54,2.08,no change
Gwen,JUNGLE,48.36,irontogold,3.68,0.4,buff
Gwen,TOP,45.1,irontogold,3.68,2.62,buff
Hecarim,JUNGLE,48.06,irontogold,1.8,3.36,no change
Heimerdinger,MID,51.66,irontogold,1.54,1.19,no change
Heimerdinger,TOP,50.49,irontogold,1.54,1.02,no change
Illaoi,TOP,50.1,irontogold,6.63,3.36,no change
Irelia,TOP,50.93,irontogold,38.23,7.53,no change
Irelia,MID,51.78,irontogold,38.23,6.75,no change
Ivern,JUNGLE,46.22,irontogold,0.35,0.78,no change
Janna,SUPPORT,49.78,irontogold,0.16,2.5,no change
Jarvan IV,JUNGLE,51.71,irontogold,5.8,7.47,no change
Jax,TOP,50.41,irontogold,5.15,5.63,no change
Jax,JUNGLE,50.11,irontogold,5.15,2.12,no change
Jayce,MID,47.49,irontogold,0.72,0.74,no change
Jayce,TOP,46.09,irontogold,0.72,2.34,no change
Jhin,ADC,50.85,irontogold,6.01,17.63,no change
Jinx,ADC,49.31,irontogold,1.17,9.33,no change
Kai'Sa,ADC,48.77,irontogold,2.56,12.03,no change
Kalista,ADC,46.87,irontogold,0.39,1.85,no change
Karma,SUPPORT,47.06,irontogold,0.84,4.77,no change
Karthus,JUNGLE,49.12,irontogold,0.61,1.47,no change
Karthus,MID,48.37,irontogold,0.61,0.3,no change
Kassadin,MID,49.52,irontogold,3.64,3.3,no change
Katarina,MID,49.01,irontogold,16.33,9.31,no change
Kayle,MID,53.82,irontogold,1.37,1.22,no change
Kayle,TOP,51.04,irontogold,1.37,4.06,no change
Kayn,JUNGLE,49.27,irontogold,10.38,12.43,no change
Kennen,MID,51.05,irontogold,0.86,0.61,nerf
Kennen,TOP,48.82,irontogold,0.86,2.69,nerf
Kha'Zix,JUNGLE,49.42,irontogold,8.9,8.47,no change
Kindred,JUNGLE,49.01,irontogold,1.83,3.65,no change
Kled,MID,54.6,irontogold,1.18,0.24,no change
Kled,TOP,50.91,irontogold,1.18,1.79,no change
Kog'Maw,MID,48.55,irontogold,0.7,0.45,no change
Kog'Maw,ADC,50.56,irontogold,0.7,2.26,no change
LeBlanc,MID,48.32,irontogold,9.34,6,no change
