champ,role,winrate,banrate,pickrate,change
Aatrox,TOP,49.36,2.18,4.85,no change
Aatrox,MID,51.63,2.18,0.72,no change
Ahri,MID,51.62,0.93,4.81,no change
Akali,MID,45.84,6.57,3.66,no change
Akali,TOP,47.49,6.57,2.11,no change
Akshan,MID,49.22,33.44,6.32,nerf
Akshan,TOP,47.27,33.44,1.29,nerf
Akshan,ADC,45.35,33.44,2.4,nerf
Alistar,SUPPORT,50.44,1.53,5.62,no change
Amumu,JUNGLE,51.19,0.51,1.92,tweak
Anivia,MID,51.14,3.25,3.14,no change
Anivia,SUPPORT,47.07,3.4,0.43,no change
Annie,MID,52.32,0.9,2.51,no change
Aphelios,ADC,49.31,4.01,11.0,no change
Ashe,ADC,52.64,4.32,17.77,no change
Aurelion Sol,MID,54.36,0.21,0.74,no change
Azir,MID,50.45,0.21,1.31,no change
Bard,SUPPORT,53.41,1.18,5.15,no change
Blitzcrank,SUPPORT,53.44,8.69,6.42,no change
Brand,MID,55.55,2.76,0.61,no change
Brand,SUPPORT,51.64,2.24,3.52,no change
Braum,SUPPORT,52.0,0.54,4.53,no change
Caitlyn,ADC,49.84,3.48,10.23,no change
Camille,TOP,51.87,13.13,12.23,no change
Cassiopeia,MID,51.58,2.43,3.66,no change
Cassiopeia,TOP,49.5,2.43,1.07,no change
Cassiopeia,ADC,48.03,2.43,0.82,no change
Cho'Gath,TOP,51.51,0.49,1.64,no change
Cho'Gath,MID,51.79,0.57,0.46,no change
Corki,MID,53.38,0.17,1.59,no change
Darius,TOP,49.0,14.38,4.74,no change
Darius,MID,54.5,14.38,0.58,no change
Diana,JUNGLE,49.16,12.86,8.38,no change
Diana,MID,49.23,12.86,2.33,no change
Dr. Mundo,TOP,50.76,3.14,3.56,no change
Draven,ADC,50.0,10.27,6.42,no change
Ekko,MID,49.71,2.5,3.56,buff
Ekko,JUNGLE,50.75,2.5,4.76,buff
Elise,JUNGLE,49.77,4.8,3.19,no change
Evelynn,JUNGLE,49.74,12.86,5.84,buff
Ezreal,ADC,50.83,11.32,24.47,no change
Fiddlesticks,JUNGLE,52.2,6.48,4.71,no change
Fiora,TOP,50.45,17.34,8.0,no change
Fizz,MID,54.32,3.63,2.73,no change
Galio,MID,53.78,0.91,2.7,no change
Galio,SUPPORT,52.02,0.91,1.7,no change
Gangplank,TOP,48.91,1.83,3.62,tweak
Gangplank,MID,45.0,1.83,0.61,tweak
Garen,TOP,54.99,1.48,3.51,no change
Garen,MID,52.03,1.74,0.68,no change
Gnar,TOP,51.32,1.06,4.11,no change
Gragas,JUNGLE,50.45,0.31,2.13,no change
Gragas,TOP,49.2,0.31,0.92,no change
Gragas,SUPPORT,46.71,0.31,0.88,no change
Graves,JUNGLE,50.68,9.26,9.0,nerf
Graves,MID,54.16,9.26,3.32,nerf
Graves,TOP,53.64,9.26,1.42,nerf
Gwen,TOP,48.36,9.71,3.43,no change
Gwen,MID,48.81,9.71,0.45,no change
Gwen,JUNGLE,47.99,9.71,0.97,no change
Hecarim,JUNGLE,50.81,1.95,3.96,no change
Heimerdinger,TOP,54.74,0.58,0.82,no change
Heimerdinger,MID,51.65,0.58,0.71,no change
Heimerdinger,ADC,50.73,0.58,0.47,no change
Illaoi,TOP,50.34,1.25,1.63,no change
Irelia,TOP,51.27,42.48,9.18,nerf
Irelia,MID,50.54,42.48,6.35,nerf
Ivern,JUNGLE,51.95,0.37,1.6,no change
Janna,SUPPORT,51.82,0.5,5.31,no change
Jarvan IV,JUNGLE,50.93,2.5,9.41,no change
Jarvan IV,TOP,50.64,2.5,1.27,no change
Jax,TOP,50.69,6.43,5.66,no change
Jax,MID,59.69,6.43,0.68,no change
Jayce,TOP,47.69,2.4,5.83,no change
Jayce,MID,49.95,2.4,1.45,no change
Jhin,ADC,50.41,1.49,15.1,no change
Jinx,ADC,50.1,0.36,6.79,no change
Kai'Sa,ADC,49.92,1.85,12.74,no change
Kalista,ADC,49.22,0.58,2.72,no change
Karma,SUPPORT,46.77,2.6,8.28,no change
Karthus,JUNGLE,51.21,5.87,3.35,no change
Karthus,ADC,54.17,5.87,0.73,no change
Kassadin,MID,52.11,14.21,4.15,no change
Katarina,MID,49.24,19.67,7.72,no change
Kayle,TOP,50.86,1.32,2.72,no change
Kayle,MID,52.73,1.32,1.39,no change
Kayn,JUNGLE,51.51,18.33,10.2,nerf
Kennen,TOP,52.17,1.18,3.86,no change
Kennen,MID,56.53,1.18,1.03,no change
Kha'Zix,JUNGLE,51.96,11.13,9.91,no change
Kindred,JUNGLE,51.83,4.58,5.27,no change
Kled,TOP,51.39,0.81,1.99,no change
Kled,MID,53.38,0.87,0.39,no change
Kog'Maw,ADC,52.18,1.11,3.21,no change
LeBlanc,MID,49.41,17.59,9.01,no change
Lee Sin,JUNGLE,50.45,24.12,20.19,no change
Leona,SUPPORT,50.58,20.05,11.33,nerf
Lillia,TOP,50.11,0.67,1.06,no change
Lillia,JUNGLE,47.86,0.67,2.48,no change
Lissandra,MID,51.87,0.56,2.74,buff
Lissandra,TOP,53.97,0.58,0.32,buff
Lucian,MID,47.42,3.12,5.01,tweak
Lucian,TOP,48.28,3.12,1.59,tweak
Lucian,ADC,48.32,3.12,4.17,tweak
Lulu,SUPPORT,51.06,35.54,13.3,no change
Lux,MID,50.44,0.98,3.3,no change
Lux,SUPPORT,49.99,0.98,4.69,no change
Malphite,TOP,49.87,5.77,4.82,no change
Malphite,MID,52.93,5.77,1.05,no change
Malzahar,MID,54.52,2.71,2.93,no change
Malzahar,TOP,53.18,3.06,0.42,no change
Maokai,TOP,48.59,0.43,1.18,no change
Maokai,SUPPORT,47.6,0.43,2.75,no change
Master Yi,JUNGLE,50.65,6.24,4.47,no change
Miss Fortune,ADC,49.04,0.23,4.21,no change
Mordekaiser,TOP,46.83,4.71,4.64,no change
Mordekaiser,MID,52.44,5.48,0.74,no change
Morgana,SUPPORT,50.65,22.67,6.34,no change
Morgana,MID,52.89,25.66,0.77,no change
Nami,SUPPORT,49.63,0.16,4.98,buff
Nasus,TOP,51.61,2.18,2.87,no change
Nautilus,SUPPORT,49.76,10.64,8.46,no change
Neeko,TOP,52.65,0.19,0.22,no change
Neeko,MID,50.39,0.18,0.92,no change
Neeko,SUPPORT,54.47,0.18,0.4,no change
Nidalee,JUNGLE,50.77,5.49,7.8,no change
Nocturne,JUNGLE,53.23,7.14,4.6,no change
Olaf,JUNGLE,51.87,1.73,2.23,no change
Olaf,TOP,47.9,1.57,0.3,no change
Orianna,MID,49.04,0.24,3.67,no change
Ornn,TOP,50.39,0.31,3.28,no change
Pantheon,MID,54.8,1.85,1.91,no change
Pantheon,TOP,47.1,1.85,0.99,no change
Pantheon,SUPPORT,45.33,1.85,1.59,no change
Poppy,TOP,51.18,1.01,1.42,no change
Poppy,JUNGLE,49.55,1.01,1.75,no change
Pyke,SUPPORT,49.01,6.45,7.02,no change
Pyke,MID,55.17,6.45,0.88,no change
Qiyana,MID,51.03,6.93,5.48,no change
Quinn,MID,58.63,0.67,0.24,no change
Quinn,TOP,52.05,0.64,1.43,no change
Rakan,SUPPORT,51.26,0.33,5.87,no change
Rammus,JUNGLE,49.94,2.87,1.83,no change
Rek'Sai,JUNGLE,52.16,1.49,2.76,no change
Rell,SUPPORT,52.71,0.91,2.82,no change
Renekton,TOP,48.52,5.03,5.16,no change
Renekton,MID,49.72,5.03,1.31,no change
Rengar,TOP,50.91,3.39,1.3,tweak
Rengar,JUNGLE,49.83,3.39,3.08,tweak
Riven,TOP,52.07,4.09,6.11,no change
Riven,MID,54.26,4.09,0.95,no change
Rumble,MID,51.97,0.51,0.86,no change
Rumble,TOP,47.91,0.51,0.72,no change
Rumble,JUNGLE,49.28,0.51,1.46,no change
Ryze,MID,49.08,0.67,4.71,no change
Ryze,TOP,49.15,0.67,1.45,no change
Samira,ADC,49.68,21.51,9.47,no change
Sejuani,JUNGLE,52.74,0.18,1.61,no change
Sejuani,TOP,51.03,0.18,0.19,no change
Senna,SUPPORT,48.43,3.62,5.99,buff
Seraphine,ADC,55.83,1.32,0.82,no change
Seraphine,SUPPORT,49.72,1.32,3.89,no change
Seraphine,MID,50.42,1.32,1.05,no change
Sett,TOP,51.46,10.22,9.61,no change
Sett,MID,53.55,10.22,1.94,no change
Sett,SUPPORT,45.7,10.22,1.82,no change
Shaco,JUNGLE,51.72,18.5,5.51,no change
Shaco,SUPPORT,50.46,18.5,1.29,no change
Shen,TOP,52.57,1.33,4.81,no change
Shen,SUPPORT,51.47,1.33,0.61,no change
Shyvana,JUNGLE,53.2,0.31,2.22,no change
Singed,MID,53.76,0.24,0.22,no change
Singed,TOP,46.14,0.25,1.45,no change
Sion,TOP,51.46,0.19,2.47,no change
Sion,MID,45.37,0.19,0.46,no change
Sivir,ADC,51.38,0.37,3.5,no change
Skarner,TOP,51.86,0.14,0.15,no change
Skarner,JUNGLE,51.97,0.15,0.91,no change
Sona,SUPPORT,53.83,1.93,7.78,no change
Soraka,SUPPORT,53.53,0.57,4.34,no change
Swain,MID,57.15,1.54,0.59,no change
Swain,ADC,54.64,1.77,0.84,no change
Swain,SUPPORT,47.81,1.54,2.02,no change
Sylas,MID,49.79,9.05,7.81,no change
Sylas,TOP,48.83,9.05,3.13,no change
Syndra,MID,49.39,1.71,5.4,no change
Syndra,ADC,48.5,1.71,1.46,no change
Tahm Kench,TOP,50.35,27.24,6.46,nerf
Tahm Kench,SUPPORT,48.61,27.24,0.84,nerf
