champ,role,winrate,banrate,pickrate
Aatrox,TOP,52.54,4.11,7.57
Ahri,MID,49.23,1.15,5.07
Akali,MID,47.16,9.48,4.95
Akali,TOP,46.31,9.01,2.31
Akshan,MID,51.82,30.91,5.84
Akshan,ADC,47.82,32.19,2.12
Alistar,SUPPORT,51.47,1.80,4.53
Amumu,SUPPORT,50.38,22.97,9.39
Amumu,JUNGLE,52.21,22.64,5.82
Anivia,MID,52.92,4.36,3.67
Anivia,SUPPORT,49.12,4.25,0.45
Annie,MID,52.70,1.08,3.19
Annie,SUPPORT,52.70,1.13,0.31
Aphelios,ADC,46.50,2.13,6.03
Ashe,ADC,52.04,2.30,9.05
Aurelion Sol,MID,56.52,0.21,0.74
Azir,MID,47.42,0.27,1.37
Bard,SUPPORT,56.12,0.83,4.24
Blitzcrank,SUPPORT,50.53,8.71,6.13
Brand,SUPPORT,50.67,3.54,4.24
Brand,MID,45.47,4.27,0.67
Braum,SUPPORT,49.81,0.54,3.84
Caitlyn,ADC,46.80,5.30,11.48
Camille,TOP,52.65,11.93,9.56
Cassiopeia,MID,53.91,1.41,2.43
Cassiopeia,TOP,48.11,1.46,0.43
Cassiopeia,ADC,46.96,1.46,0.40
Cho'Gath,TOP,50.72,0.77,2.97
Cho'Gath,MID,42.85,0.77,0.60
Corki,MID,52.72,0.35,2.25
Darius,TOP,52.32,16.56,6.45
Diana,JUNGLE,51.11,9.69,5.65
Diana,MID,51.63,9.97,3.32
Dr. Mundo,TOP,53.89,2.85,3.41
Dr. Mundo,JUNGLE,48.31,3.52,0.42
Draven,ADC,50.77,12.29,7.93
Ekko,JUNGLE,50.45,12.97,10.86
Ekko,MID,44.63,12.46,3.76
Elise,JUNGLE,48.96,1.58,2.02
Evelynn,JUNGLE,49.11,10.49,4.27
Ezreal,ADC,50.72,7.07,23.93
Fiddlesticks,JUNGLE,54.46,12.77,5.72
Fiora,TOP,49.16,17.38,8.69
Fizz,MID,51.67,7.28,5.22
Galio,MID,47.78,0.89,3.23
Galio,SUPPORT,51.00,0.89,1.80
Gangplank,TOP,46.59,2.51,4.27
Gangplank,MID,53.35,2.42,1.16
Garen,TOP,52.27,2.19,5.23
Garen,MID,56.77,2.19,0.53
Gnar,TOP,49.21,1.73,4.47
Gragas,JUNGLE,49.51,0.31,2.25
Gragas,TOP,52.69,0.31,0.69
Graves,JUNGLE,52.49,8.92,8.94
Graves,MID,49.20,8.22,2.27
Gwen,TOP,48.52,4.67,2.93
Gwen,JUNGLE,46.28,4.55,0.54
Hecarim,JUNGLE,48.82,2.50,4.04
Heimerdinger,ADC,58.52,0.54,0.32
Heimerdinger,MID,52.31,0.54,0.79
Heimerdinger,TOP,41.05,0.54,0.65
Illaoi,TOP,53.57,2.56,2.36
Irelia,TOP,51.51,43.51,7.67
Irelia,MID,48.52,42.53,6.18
Ivern,JUNGLE,49.82,0.37,1.08
Janna,SUPPORT,51.85,0.26,4.69
Jarvan IV,JUNGLE,47.63,8.06,10.72
Jax,TOP,55.76,6.10,6.38
Jayce,MID,54.73,0.48,0.74
Jayce,TOP,48.49,0.49,2.98
Jhin,ADC,48.77,2.25,17.44
Jinx,ADC,56.69,0.35,7.07
Kai'Sa,ADC,50.63,1.65,14.00
Kalista,ADC,50.14,0.24,1.94
Karma,SUPPORT,47.12,1.10,7.52
Karthus,ADC,58.74,0.82,0.44
Karthus,JUNGLE,49.18,1.05,1.54
Karthus,MID,48.08,0.68,0.25
Kassadin,MID,55.06,9.30,4.85
Katarina,MID,53.51,15.22,8.07
Kayle,MID,56.72,1.33,1.50
Kayle,TOP,48.77,1.33,3.70
