champ,role,pickrate,winrate,banrate,rank,change
Aatrox,TOP,4.68,48.17,4.48,irontogold,no change
Aatrox,MID,0.56,51.78,4.48,irontogold,no change
Ahri,MID,5.27,50.29,1.89,irontogold,no change
Akali,MID,9.91,48.79,17.27,irontogold,no change
Akali,TOP,3.57,48.66,17.27,irontogold,no change
Alistar,SUPPORT,6.28,50.76,2.9,irontogold,no change
Amumu,JUNGLE,4.37,54.35,1.28,irontogold,no change
Anivia,MID,2.6,51.49,3.13,irontogold,no change
Anivia,SUPPORT,0.44,47.02,3.13,irontogold,no change
Annie,MID,2.54,52.64,1.46,irontogold,no change
Annie,SUPPORT,0.34,49.87,1.46,irontogold,no change
Aphelios,ADC,2.49,45.74,0.87,irontogold,no change
Ashe,ADC,9.42,50.34,1.66,irontogold,no change
Aurelion Sol,MID,0.59,50.39,0.2,irontogold,no change
Azir,MID,0.93,43.88,0.16,irontogold,buff
Bard,SUPPORT,2.52,48.91,0.4,irontogold,no change
Blitzcrank,SUPPORT,7.15,50.31,15.86,irontogold,no change
Brand,SUPPORT,5.97,51.52,9.89,irontogold,no change
Brand,MID,1.27,52.17,9.89,irontogold,no change
Braum,SUPPORT,2.48,50.49,0.45,irontogold,no change
Caitlyn,ADC,13.22,49,8.77,irontogold,no change
Camille,TOP,3.21,49.38,2.11,irontogold,no change
Cassiopeia,MID,1.44,48.49,0.93,irontogold,no change
Cassiopeia,TOP,0.26,49,0.93,irontogold,no change
Cho'Gath,TOP,3.99,52.07,2.39,irontogold,no change
Cho'Gath,MID,0.71,51.94,2.39,irontogold,no change
Corki,MID,1.19,51.94,0.3,irontogold,no change
Darius,TOP,6.98,48.66,34.58,irontogold,no change
Diana,JUNGLE,8.48,51.72,22.19,irontogold,no change
Diana,MID,4.46,52.12,22.19,irontogold,no change
Dr. Mundo,TOP,1.42,52.28,2.44,irontogold,no change
Dr. Mundo,JUNGLE,2.22,52.07,2.44,irontogold,no change
Draven,ADC,3.42,48.52,3.43,irontogold,no change
Ekko,MID,3.64,50.76,3.62,irontogold,no change
Ekko,JUNGLE,4.24,50.28,3.62,irontogold,no change
Elise,JUNGLE,3.91,50.23,8.17,irontogold,nerf
Evelynn,JUNGLE,4.09,49.63,5.84,irontogold,no change
Ezreal,ADC,16.38,47.11,3.43,irontogold,buff
Fiddlesticks,JUNGLE,3.75,50.99,2.45,irontogold,no change
Fiora,TOP,3.9,49.05,5.54,irontogold,no change
Fizz,MID,4.2,50.51,10.86,irontogold,no change
