champ,role,winrate,banrate,pickrate,change
Aatrox,TOP,51.47,2.91,6.8,no change
Ahri,MID,63.27,0.78,3.23,no change
Akali,MID,46.79,13.83,8.32,no change
Akali,TOP,48,13.83,4.52,no change
Alistar,SUPPORT,54.55,4.3,10.44,no change
Anivia,MID,60.98,4.54,2.67,no change
Aphelios,ADC,40,0.27,2.98,no change
Ashe,ADC,41.3,0.18,4.76,no change
Aurelion Sol,MID,57.14,0.29,0.93,no change
Bard,SUPPORT,55.84,5.29,6.8,no change
Blitzcrank,SUPPORT,38.24,4.43,4.45,no change
Braum,SUPPORT,42.11,0.3,3.05,no change
Caitlyn,ADC,50,1.45,5.91,no change
Camille,TOP,55.21,5.69,6.4,no change
Cho'Gath,MID,71.43,0.53,0.9,no change
Cho'Gath,TOP,42.86,0.53,2.28,no change
Darius,TOP,66.07,19.95,5.24,no change
Diana,JUNGLE,49.68,24.41,10.43,no change
Diana,MID,28.21,24.41,2.32,no change
Draven,ADC,59.34,5.06,5.01,no change
Ekko,MID,54.43,2.68,3.92,no change
Ekko,JUNGLE,56.19,2.68,4.34,no change
Ekko,TOP,52.38,2.68,0.53,no change
Elise,JUNGLE,52.8,10.2,7.3,nerf
Evelynn,JUNGLE,55.32,14.81,4.7,no change
Ezreal,ADC,52.43,1.33,13.9,buff
Fiddlesticks,JUNGLE,58.33,8.53,5.01,no change
Fiora,TOP,61.67,9.14,5.34,no change
Fizz,MID,57.14,3.11,1.81,no change
Galio,MID,58.06,2.02,3.72,no change
Galio,SUPPORT,38.1,2.02,2.91,no change
Gangplank,TOP,53.01,2.02,3.81,no change
Garen,TOP,58.33,1.13,2.52,no change
Gnar,TOP,52.68,5.18,7.57,no change
Gragas,JUNGLE,63.89,0.3,1.99,no change
Gragas,SUPPORT,52.17,0.3,1.68,no change
Graves,JUNGLE,45.61,1.39,3.38,buff
Gwen,TOP,56.03,32.1,7.17,no change
Gwen,JUNGLE,64.58,32.1,2.12,no change
Gwen,MID,50,32.1,2.16,no change
Hecarim,JUNGLE,54.84,1.9,1.68,buff
Illaoi,TOP,52.08,0.47,0.92,no change
Irelia,TOP,47.46,15.48,5.59,no change
Irelia,MID,48.98,15.48,2.85,no change
Ivern,JUNGLE,45.45,2.18,2.32,no change
Janna,SUPPORT,60.33,1.08,7.28,no change
Jarvan IV,JUNGLE,33.33,0.14,2.11,no change
Jax,TOP,42.86,5.51,4.11,no change
Jayce,TOP,52.15,2.83,7.41,no change
Jayce,MID,54.55,2.83,2.51,no change
Jhin,ADC,53.45,0.69,11.15,no change
Jinx,ADC,52.79,7.34,18.96,no change
