,champ,role,winrate,banrate,pickrate
0,Aatrox,TOP,49.49,6.73,8.24
1,Aatrox,MID,50.90,6.73,1.17
2,Ahri,MID,51.41,1.21,4.50
3,Akali,MID,47.11,38.00,9.13
4,Akali,TOP,46.32,38.00,5.67
5,Alistar,SUPPORT,51.01,1.53,7.56
6,Amumu,JUNGLE,48.38,8.08,3.28
7,Anivia,MID,53.13,23.00,8.03
8,Annie,MID,56.22,0.93,2.16
9,Annie,SUPPORT,50.59,0.97,0.41
10,Aphelios,ADC,46.35,0.73,3.94
11,Ashe,ADC,51.80,2.71,9.39
12,Ashe,SUPPORT,47.87,2.71,3.15
13,Aurelion Sol,MID,52.54,0.26,1.01
14,Azir,MID,47.51,0.23,1.64
15,Bard,SUPPORT,52.45,1.58,6.46
16,Blitzcrank,SUPPORT,51.22,6.75,4.96
17,Brand,MID,55.59,6.28,0.94
18,Brand,SUPPORT,49.92,5.50,4.22
19,Braum,SUPPORT,50.52,0.41,2.66
20,Caitlyn,ADC,49.05,4.30,8.49
21,Camille,TOP,52.82,13.72,11.89
22,Cassiopeia,MID,52.60,1.80,2.40
23,Cassiopeia,TOP,52.79,1.80,0.58
24,Cassiopeia,ADC,51.85,1.80,0.39
25,Cho'Gath,TOP,51.85,0.59,1.95
26,Cho'Gath,MID,52.46,0.59,0.51
27,Cho'Gath,JUNGLE,44.71,0.66,0.23
28,Corki,ADC,51.67,0.23,0.13
29,Corki,MID,49.65,0.21,0.84
30,Corki,TOP,48.73,0.22,0.10
31,Darius,TOP,54.10,29.49,7.19
32,Diana,MID,52.71,2.43,4.41
33,Dr. Mundo,JUNGLE,47.20,0.66,1.11
34,Dr. Mundo,TOP,45.59,0.70,0.84
35,Draven,ADC,49.16,4.37,4.96
36,Ekko,MID,53.79,10.53,5.69
37,Ekko,JUNGLE,51.69,10.53,9.25
38,Elise,JUNGLE,51.34,2.28,4.36
39,Evelynn,JUNGLE,51.41,15.41,5.21
40,Ezreal,ADC,48.43,5.48,21.08
41,Fiddlesticks,JUNGLE,54.95,4.23,4.22
42,Fiddlesticks,SUPPORT,51.07,4.23,0.41
43,Fiora,TOP,49.89,8.70,6.03
44,Fizz,MID,52.43,19.98,6.18
45,Galio,MID,54.85,2.04,3.97
46,Galio,SUPPORT,53.86,2.04,1.33
47,Gangplank,TOP,46.13,1.21,3.39
48,Gangplank,MID,46.08,1.21,0.49
49,Garen,TOP,52.74,2.10,3.78
50,Garen,MID,56.35,2.10,0.61
51,Gnar,TOP,48.46,0.39,2.17
52,Gragas,TOP,51.79,0.91,2.16
53,Gragas,JUNGLE,51.44,0.91,3.32
54,Gragas,SUPPORT,49.77,0.91,0.87
55,Graves,JUNGLE,49.52,34.96,17.64
56,Hecarim,JUNGLE,52.06,21.80,10.80
57,Heimerdinger,MID,58.30,0.44,0.75
58,Heimerdinger,TOP,54.43,0.44,0.66
59,Heimerdinger,ADC,53.13,0.44,0.36
60,Illaoi,TOP,48.52,2.49,2.11
61,Irelia,TOP,47.80,9.55,8.02
62,Irelia,MID,46.11,9.55,4.65
63,Ivern,JUNGLE,53.11,1.89,4.01
64,Janna,SUPPORT,52.76,1.34,9.14
65,Jarvan IV,JUNGLE,51.08,0.20,2.57
66,Jax,TOP,51.00,8.44,5.04
67,Jax,JUNGLE,48.99,7.83,1.61
