,champ,role,winrate,banrate,pickrate
0,Aatrox,,0.00,0.00,0.00
1,Ahri,,0.00,0.00,0.00
2,Akali,,0.00,0.00,0.00
3,Alistar,,0.00,0.00,0.00
4,Amumu,,0.00,0.00,0.00
5,Anivia,,0.00,0.00,0.00
6,Annie,,0.00,0.00,0.00
7,Ashe,,0.00,0.00,0.00
8,Aurelion Sol,,0.00,0.00,0.00
9,Azir,,0.00,0.00,0.00
10,Bard,,0.00,0.00,0.00
11,Blitzcrank,,0.00,0.00,0.00
12,Brand,,0.00,0.00,0.00
13,Braum,,0.00,0.00,0.00
14,Caitlyn,,0.00,0.00,0.00
15,Camille,,0.00,0.00,0.00
16,Cassiopeia,,0.00,0.00,0.00
17,Cho'Gath,,0.00,0.00,0.00
18,Corki,,0.00,0.00,0.00
19,Darius,,0.00,0.00,0.00
20,Diana,,0.00,0.00,0.00
21,Dr. Mundo,,0.00,0.00,0.00
22,Draven,,0.00,0.00,0.00
23,Ekko,,0.00,0.00,0.00
24,Elise,,0.00,0.00,0.00
25,Evelynn,,0.00,0.00,0.00
26,Ezreal,,0.00,0.00,0.00
27,Fiddlesticks,,0.00,0.00,0.00
28,Fiora,,0.00,0.00,0.00
29,Fizz,,0.00,0.00,0.00
30,Galio,,0.00,0.00,0.00
31,Gangplank,,0.00,0.00,0.00
32,Garen,,0.00,0.00,0.00
33,Gnar,,0.00,0.00,0.00
34,Gragas,,0.00,0.00,0.00
35,Graves,,0.00,0.00,0.00
36,Hecarim,,0.00,0.00,0.00
37,Heimerdinger,,0.00,0.00,0.00
38,Illaoi,,0.00,0.00,0.00
39,Irelia,,0.00,0.00,0.00
40,Ivern,,0.00,0.00,0.00
41,Janna,,0.00,0.00,0.00
42,Jarvan IV,,0.00,0.00,0.00
43,Jax,,0.00,0.00,0.00
44,Jayce,,0.00,0.00,0.00
45,Jhin,,0.00,0.00,0.00
46,Jinx,,0.00,0.00,0.00
47,Kai'Sa,,0.00,0.00,0.00
48,Kalista,,0.00,0.00,0.00
49,Karma,,0.00,0.00,0.00
50,Karthus,,0.00,0.00,0.00
51,Kassadin,,0.00,0.00,0.00
52,Katarina,,0.00,0.00,0.00
53,Kayle,,0.00,0.00,0.00
54,Kayn,,0.00,0.00,0.00
55,Kennen,,0.00,0.00,0.00
56,Kha'Zix,,0.00,0.00,0.00
57,Kindred,,0.00,0.00,0.00
58,Kled,,0.00,0.00,0.00
59,Kog'Maw,,0.00,0.00,0.00
60,LeBlanc,,0.00,0.00,0.00
61,Lee Sin,,0.00,0.00,0.00
62,Leona,,0.00,0.00,0.00
63,Lissandra,,0.00,0.00,0.00
64,Lucian,,0.00,0.00,0.00
65,Lulu,,0.00,0.00,0.00
66,Lux,,0.00,0.00,0.00
67,Malphite,,0.00,0.00,0.00
68,Malzahar,,0.00,0.00,0.00
69,Maokai,,0.00,0.00,0.00
70,Master Yi,,0.00,0.00,0.00
71,Miss Fortune,,0.00,0.00,0.00
72,Mordekaiser,,0.00,0.00,0.00
73,Morgana,,0.00,0.00,0.00
74,Nami,,0.00,0.00,0.00
75,Nasus,,0.00,0.00,0.00
76,Nautilus,,0.00,0.00,0.00
77,Neeko,,0.00,0.00,0.00
78,Nidalee,,0.00,0.00,0.00
79,Nocturne,,0.00,0.00,0.00
80,Nunu & Willump,,0.00,0.00,0.00
81,Olaf,,0.00,0.00,0.00
82,Orianna,,0.00,0.00,0.00
83,Ornn,,0.00,0.00,0.00
84,Pantheon,,0.00,0.00,0.00
85,Poppy,,0.00,0.00,0.00
86,Pyke,,0.00,0.00,0.00
87,Quinn,,0.00,0.00,0.00
88,Rakan,,0.00,0.00,0.00
89,Rammus,,0.00,0.00,0.00
90,Rek'Sai,,0.00,0.00,0.00
91,Renekton,,0.00,0.00,0.00
92,Rengar,,0.00,0.00,0.00
93,Riven,,0.00,0.00,0.00
94,Rumble,,0.00,0.00,0.00
95,Ryze,,0.00,0.00,0.00
96,Sejuani,,0.00,0.00,0.00
97,Shaco,,0.00,0.00,0.00
98,Shen,,0.00,0.00,0.00
99,Shyvana,,0.00,0.00,0.00
100,Singed,,0.00,0.00,0.00
101,Sion,,0.00,0.00,0.00
102,Sivir,,0.00,0.00,0.00
103,Skarner,,0.00,0.00,0.00
104,Sona,,0.00,0.00,0.00
105,Soraka,,0.00,0.00,0.00
106,Swain,,0.00,0.00,0.00
107,Syndra,,0.00,0.00,0.00
108,Tahm Kench,,0.00,0.00,0.00
109,Taliyah,,0.00,0.00,0.00
110,Talon,,0.00,0.00,0.00
111,Taric,,0.00,0.00,0.00
112,Teemo,,0.00,0.00,0.00
113,Thresh,,0.00,0.00,0.00
114,Tristana,,0.00,0.00,0.00
115,Trundle,,0.00,0.00,0.00
116,Tryndamere,,0.00,0.00,0.00
117,Twisted Fate,,0.00,0.00,0.00
118,Twitch,,0.00,0.00,0.00
119,Udyr,,0.00,0.00,0.00
120,Urgot,,0.00,0.00,0.00
121,Varus,,0.00,0.00,0.00
122,Vayne,,0.00,0.00,0.00
123,Veigar,,0.00,0.00,0.00
124,Vel'Koz,,0.00,0.00,0.00
125,Vi,,0.00,0.00,0.00
126,Viktor,,0.00,0.00,0.00
127,Vladimir,,0.00,0.00,0.00
128,Volibear,,0.00,0.00,0.00
129,Warwick,,0.00,0.00,0.00
130,Wukong,,0.00,0.00,0.00
131,Xayah,,0.00,0.00,0.00
132,Xerath,,0.00,0.00,0.00
133,Xin Zhao,,0.00,0.00,0.00
134,Yasuo,,0.00,0.00,0.00
135,Yorick,,0.00,0.00,0.00
136,Zac,,0.00,0.00,0.00
137,Zed,,0.00,0.00,0.00
138,Ziggs,,0.00,0.00,0.00
139,Zilean,,0.00,0.00,0.00
140,Zoe,,0.00,0.00,0.00
141,Zyra,,0.00,0.00,0.00
