,champ,role,winrate,banrate,pickrate
0,Aatrox,MID,48.88,5.49,0.90
1,Aatrox,TOP,45.17,5.49,4.71
2,Ahri,MID,51.05,4.61,7.38
3,Akali,TOP,45.71,24.10,5.22
4,Akali,MID,44.53,24.10,9.25
5,Alistar,SUPPORT,48.89,0.69,3.05
6,Amumu,JUNGLE,52.59,1.00,5.31
7,Anivia,MID,51.56,0.49,1.39
8,Anivia,SUPPORT,46.50,0.49,0.26
9,Annie,MID,50.92,0.97,2.19
10,Annie,SUPPORT,47.71,0.97,0.51
11,Aphelios,ADC,49.75,50.26,12.75
12,Aphelios,MID,45.83,50.26,1.75
13,Ashe,ADC,51.17,3.29,13.03
14,Aurelion Sol,MID,51.71,0.29,0.81
15,Azir,MID,44.51,0.29,1.26
16,Bard,SUPPORT,50.16,0.51,2.80
17,Blitzcrank,SUPPORT,50.84,30.68,10.78
18,Brand,SUPPORT,51.48,8.94,5.93
19,Brand,MID,50.74,8.94,1.36
20,Braum,SUPPORT,49.00,1.19,4.00
21,Caitlyn,ADC,50.04,19.81,23.71
22,Camille,MID,51.52,0.85,0.48
23,Camille,TOP,48.55,0.85,2.73
24,Camille,JUNGLE,45.56,0.85,0.43
25,Cassiopeia,MID,51.20,6.87,3.80
26,Cassiopeia,TOP,51.36,6.87,0.74
27,Cho'Gath,MID,51.71,1.32,0.81
28,Cho'Gath,TOP,49.40,1.32,2.50
29,Cho'Gath,JUNGLE,48.68,1.32,0.51
30,Corki,MID,45.54,0.36,0.56
31,Corki,ADC,46.51,0.36,0.15
32,Darius,TOP,49.53,40.92,10.67
33,Diana,MID,52.34,23.00,10.60
34,Diana,JUNGLE,48.54,23.00,3.53
35,Dr. Mundo,JUNGLE,52.40,3.21,2.69
36,Dr. Mundo,TOP,52.44,3.21,2.37
37,Draven,ADC,47.90,11.73,5.06
38,Ekko,JUNGLE,52.44,18.29,9.56
39,Ekko,MID,51.13,18.29,4.57
40,Elise,JUNGLE,49.98,4.61,4.74
41,Evelynn,JUNGLE,47.28,4.97,3.52
42,Ezreal,ADC,46.31,2.09,9.84
43,Fiddlesticks,JUNGLE,48.05,0.87,0.86
44,Fiddlesticks,SUPPORT,50.08,0.87,1.97
45,Fiora,TOP,49.75,9.07,7.17
46,Fizz,MID,52.55,17.02,7.67
47,Galio,MID,49.97,0.60,1.88
48,Galio,TOP,48.09,0.60,0.34
49,Galio,SUPPORT,47.22,0.60,0.93
50,Gangplank,TOP,47.17,0.97,2.57
51,Gangplank,MID,47.77,0.97,0.52
52,Garen,TOP,50.82,14.92,10.68
