champ,role,winrate,banrate,pickrate,change,rank
Aatrox,TOP,48.17,4.48,4.68,no change,irontogold
Aatrox,MID,51.78,4.48,0.56,no change,irontogold
Ahri,MID,50.29,1.89,5.27,no change,irontogold
Akali,MID,48.79,17.27,9.91,no change,irontogold
Akali,TOP,48.66,17.27,3.57,no change,irontogold
Alistar,SUPPORT,50.76,2.9,6.28,no change,irontogold
Amumu,JUNGLE,54.35,1.28,4.37,no change,irontogold
Anivia,MID,51.49,3.13,2.6,no change,irontogold
Anivia,SUPPORT,47.02,3.13,0.44,no change,irontogold
Annie,MID,52.64,1.46,2.54,no change,irontogold
Annie,SUPPORT,49.87,1.46,0.34,no change,irontogold
Aphelios,ADC,45.74,0.87,2.49,no change,irontogold
Ashe,ADC,50.34,1.66,9.42,no change,irontogold
Aurelion Sol,MID,50.39,0.2,0.59,no change,irontogold
Azir,MID,43.88,0.16,0.93,buff,irontogold
Bard,SUPPORT,48.91,0.4,2.52,no change,irontogold
Blitzcrank,SUPPORT,50.31,15.86,7.15,no change,irontogold
Brand,SUPPORT,51.52,9.89,5.97,no change,irontogold
Brand,MID,52.17,9.89,1.27,no change,irontogold
Braum,SUPPORT,50.49,0.45,2.48,no change,irontogold
Caitlyn,ADC,49,8.77,13.22,no change,irontogold
Camille,TOP,49.38,2.11,3.21,no change,irontogold
Cassiopeia,MID,48.49,0.93,1.44,no change,irontogold
Cassiopeia,TOP,49,0.93,0.26,no change,irontogold
Cho'Gath,TOP,52.07,2.39,3.99,no change,irontogold
Cho'Gath,MID,51.94,2.39,0.71,no change,irontogold
Corki,MID,51.94,0.3,1.19,no change,irontogold
Darius,TOP,48.66,34.58,6.98,no change,irontogold
Diana,JUNGLE,51.72,22.19,8.48,no change,irontogold
Diana,MID,52.12,22.19,4.46,no change,irontogold
Dr. Mundo,TOP,52.28,2.44,1.42,no change,irontogold
Dr. Mundo,JUNGLE,52.07,2.44,2.22,no change,irontogold
Draven,ADC,48.52,3.43,3.42,no change,irontogold
Ekko,MID,50.76,3.62,3.64,no change,irontogold
Ekko,JUNGLE,50.28,3.62,4.24,no change,irontogold
Elise,JUNGLE,50.23,8.17,3.91,nerf,irontogold
Evelynn,JUNGLE,49.63,5.84,4.09,no change,irontogold
Ezreal,ADC,47.11,3.43,16.38,buff,irontogold
Fiddlesticks,JUNGLE,50.99,2.45,3.75,no change,irontogold
Fiora,TOP,49.05,5.54,3.9,no change,irontogold
Fizz,MID,50.51,10.86,4.2,no change,irontogold
Galio,MID,51.4,1.8,2.86,no change,irontogold
Galio,SUPPORT,49.68,1.8,2.51,no change,irontogold
Gangplank,TOP,45.57,1.18,2.7,no change,irontogold
Gangplank,MID,46.37,1.18,0.58,no change,irontogold
Garen,TOP,51.64,6.84,7.9,no change,irontogold
Garen,MID,54.01,6.84,1.04,no change,irontogold
Gnar,TOP,49.58,4.52,4.9,no change,irontogold
Gragas,JUNGLE,47.68,0.28,1.5,no change,irontogold
Gragas,SUPPORT,46.21,0.28,0.38,no change,irontogold
Gragas,TOP,46.09,0.28,0.34,no change,irontogold
Graves,JUNGLE,46.09,1.53,3.02,buff,irontogold
Gwen,TOP,48.42,14.58,3.75,no change,irontogold
Gwen,MID,48.39,14.58,1.26,no change,irontogold
Gwen,JUNGLE,47.82,14.58,1.24,no change,irontogold
Hecarim,JUNGLE,46.14,4.88,2.65,buff,irontogold
Heimerdinger,MID,51.49,1.49,1.17,no change,irontogold
Heimerdinger,TOP,49.13,1.49,0.96,no change,irontogold
Heimerdinger,ADC,52.29,1.49,0.27,no change,irontogold
Illaoi,TOP,49.49,5.93,2.76,no change,irontogold
Irelia,TOP,46.43,10.92,5.14,no change,irontogold
Irelia,MID,46.38,10.92,3.88,no change,irontogold
Ivern,JUNGLE,48.22,0.27,0.9,no change,irontogold
Janna,SUPPORT,50.21,0.19,2.85,no change,irontogold
Jarvan IV,JUNGLE,49.48,0.19,1.87,no change,irontogold
Jax,TOP,49.43,4.2,4.38,no change,irontogold
Jax,JUNGLE,50,4.2,1.91,no change,irontogold
Jayce,MID,49.96,0.84,0.91,no change,irontogold
Jayce,TOP,47.18,0.84,2.42,no change,irontogold
Jhin,ADC,51.38,6.33,16.64,no change,irontogold
Jinx,ADC,49.99,6.31,15.58,no change,irontogold
Kai'Sa,ADC,49.49,9.73,21.35,no change,irontogold
Kalista,ADC,46.06,0.47,1.5,no change,irontogold
Kalista,TOP,44.2,0.47,0.3,no change,irontogold
Karma,SUPPORT,47.26,0.6,4.39,no change,irontogold
Karthus,MID,50.61,0.51,0.21,no change,irontogold
Karthus,JUNGLE,49.64,0.51,1.22,no change,irontogold
Kassadin,MID,48.11,4.4,2.85,no change,irontogold
Katarina,MID,50.16,13.42,8.97,no change,irontogold
Kayle,TOP,51.92,1.81,4.84,no change,irontogold
Kayle,MID,54.34,1.81,1.17,no change,irontogold
Kayn,JUNGLE,50.24,10.1,11.7,no change,irontogold
Kennen,MID,52.91,0.36,0.44,no change,irontogold
Kennen,TOP,48.98,0.36,1.72,no change,irontogold
Kha'Zix,JUNGLE,49.05,6.47,7.81,no change,irontogold
Kindred,JUNGLE,48.33,1.47,4.65,no change,irontogold
Kled,MID,54.97,1.12,0.34,no change,irontogold
Kled,TOP,51.2,1.12,1.85,no change,irontogold
Kog'Maw,ADC,51.2,0.76,3.3,no change,irontogold
LeBlanc,MID,47.91,4.57,4.06,no change,irontogold
Lee Sin,JUNGLE,48.18,19.1,14.66,nerf,irontogold
Lee Sin,TOP,48.13,19.1,4.41,nerf,irontogold
Leona,SUPPORT,51.65,26.48,11.96,nerf,irontogold
Lillia,JUNGLE,44.18,0.47,1.58,no change,irontogold
Lissandra,MID,49.23,0.35,1.44,no change,irontogold
Lucian,ADC,47.08,3.06,7.06,no change,irontogold
Lucian,MID,45.73,3.06,3.43,no change,irontogold
Lulu,SUPPORT,49.74,14.39,10.71,no change,irontogold
Lux,SUPPORT,49.85,6.85,13.71,no change,irontogold
Lux,MID,51.68,6.85,5.66,no change,irontogold
Malphite,TOP,51.78,7.54,5.2,no change,irontogold
Malphite,MID,51.89,7.54,1.35,no change,irontogold
Malphite,SUPPORT,47.86,7.54,1.61,no change,irontogold
Malzahar,MID,53.2,4.71,3.53,no change,irontogold
Maokai,SUPPORT,51.77,0.44,2.14,no change,irontogold
Maokai,TOP,51.56,0.44,0.64,no change,irontogold
Master Yi,JUNGLE,50.93,22.37,10.14,tweak,irontogold
Miss Fortune,ADC,51.67,2.19,12.28,no change,irontogold
Mordekaiser,TOP,51.42,13.24,9.56,no change,irontogold
Mordekaiser,MID,54.31,13.24,1.3,no change,irontogold
Mordekaiser,JUNGLE,52.44,13.24,1.3,no change,irontogold
Morgana,JUNGLE,53.54,56.95,7.48,nerf,irontogold
Morgana,SUPPORT,50.44,56.95,9.38,nerf,irontogold
Nami,SUPPORT,50.85,0.23,4.04,no change,irontogold
Nasus,TOP,51.96,7.02,6.08,no change,irontogold
Nautilus,SUPPORT,50.27,10.51,9.5,tweak,irontogold
Neeko,MID,50.67,0.81,2.26,no change,irontogold
Neeko,SUPPORT,49.01,0.81,0.99,no change,irontogold
Nidalee,JUNGLE,44.48,0.75,3.05,no change,irontogold
Nocturne,JUNGLE,50.49,6.34,7.09,no change,irontogold
Olaf,JUNGLE,46.4,1.8,1.78,no change,irontogold
Olaf,TOP,45.49,1.8,0.29,no change,irontogold
Orianna,MID,45.92,0.41,2.75,no change,irontogold
Ornn,TOP,53.09,1.16,3.96,no change,irontogold
Pantheon,MID,50.83,5.14,3.12,no change,irontogold
Pantheon,TOP,49.15,5.14,0.95,no change,irontogold
Pantheon,SUPPORT,46.5,5.14,2.9,no change,irontogold
Poppy,JUNGLE,50.06,0.98,1.75,no change,irontogold
Poppy,TOP,49.22,0.98,1.36,no change,irontogold
Pyke,SUPPORT,47.9,12.24,7.95,no change,irontogold
Qiyana,MID,46.5,2.09,3.43,nerf,irontogold
Quinn,MID,53.43,1.36,0.31,no change,irontogold
Quinn,TOP,49.03,1.36,1.71,no change,irontogold
Rakan,SUPPORT,49.57,0.23,3.19,no change,irontogold
Rammus,JUNGLE,51.74,9.06,3.47,no change,irontogold
Rek'Sai,JUNGLE,47.88,0.71,1.53,no change,irontogold
Rell,SUPPORT,49.65,2.75,2.25,no change,irontogold
Renekton,TOP,46.73,6.19,5.11,no change,irontogold
