champ,role,winrate,banrate,pickrate,change,rank
Aatrox,TOP,50.31,4,6.2,no change,plattogm
Aatrox,MID,53.21,4,0.93,no change,plattogm
Ahri,MID,52.68,1.04,4.44,no change,plattogm
Akali,MID,47.42,14.33,7.71,no change,plattogm
Akali,TOP,49.41,14.33,3.62,no change,plattogm
Alistar,SUPPORT,51.37,4.13,9.09,no change,plattogm
Amumu,JUNGLE,54.16,0.5,1.83,no change,plattogm
Anivia,MID,51.63,4.61,3.21,no change,plattogm
Annie,MID,54.85,0.71,1.9,no change,plattogm
Aphelios,ADC,48.19,0.48,3.13,no change,plattogm
Ashe,ADC,50.96,0.44,5.9,no change,plattogm
Aurelion Sol,MID,56.72,0.22,0.85,no change,plattogm
Aurelion Sol,TOP,59.16,0.21,0.1,no change,plattogm
Azir,MID,49.83,0.19,1.08,buff,plattogm
Bard,SUPPORT,52.34,1.63,5.03,no change,plattogm
Blitzcrank,SUPPORT,51.65,7.2,5.55,no change,plattogm
Brand,SUPPORT,53.03,2.1,2.65,no change,plattogm
Brand,MID,53.06,2.58,0.59,no change,plattogm
Braum,SUPPORT,51,0.31,2.83,no change,plattogm
Caitlyn,ADC,52.16,3.56,8.98,no change,plattogm
Camille,TOP,51.51,4.33,5.44,no change,plattogm
Cassiopeia,MID,50.6,0.84,1.63,no change,plattogm
Cassiopeia,ADC,52.33,0.87,0.23,no change,plattogm
Cassiopeia,TOP,49.58,0.87,0.35,no change,plattogm
Cho'Gath,TOP,52.63,1.13,2.88,no change,plattogm
Cho'Gath,MID,49.75,1.13,0.74,no change,plattogm
Corki,MID,51.16,0.2,1.6,no change,plattogm
Corki,TOP,53.22,0.22,0.18,no change,plattogm
Darius,TOP,52.18,28.43,5.82,no change,plattogm
Darius,MID,56.96,28.43,0.66,no change,plattogm
Diana,JUNGLE,50.02,26.46,9.91,no change,plattogm
Diana,MID,53.92,26.46,2.93,no change,plattogm
Dr. Mundo,TOP,51.63,0.93,0.76,no change,plattogm
Dr. Mundo,JUNGLE,50.04,0.78,1.01,no change,plattogm
Draven,ADC,50.2,3.87,4.49,no change,plattogm
Ekko,MID,52.37,2.75,3.56,no change,plattogm
Ekko,JUNGLE,51.85,2.75,4.35,no change,plattogm
Elise,JUNGLE,52.4,12.42,6.3,nerf,plattogm
Evelynn,JUNGLE,50.11,11.38,4.5,no change,plattogm
Ezreal,ADC,48.84,2.14,15.96,buff,plattogm
Fiddlesticks,JUNGLE,51.5,6.94,4.81,no change,plattogm
Fiora,TOP,52.93,7.68,4.84,no change,plattogm
Fizz,MID,52.44,5.73,2.88,no change,plattogm
Galio,MID,53.23,1.99,3.46,no change,plattogm
Galio,SUPPORT,48.23,1.99,2.51,no change,plattogm
Gangplank,TOP,46.41,2.3,3.87,no change,plattogm
Gangplank,MID,49.52,2.3,0.66,no change,plattogm
Garen,TOP,53.45,2.82,4.02,no change,plattogm
Garen,MID,53.43,3.4,0.81,no change,plattogm
Gnar,TOP,50.4,5.43,6.67,no change,plattogm
Gragas,MID,54,0.36,0.45,no change,plattogm
Gragas,JUNGLE,50.99,0.36,2.22,no change,plattogm
Gragas,SUPPORT,46.82,0.36,1.02,no change,plattogm
Gragas,TOP,47.23,0.36,0.8,no change,plattogm
Graves,JUNGLE,47.74,1.5,3.52,buff,plattogm
Gwen,TOP,49.6,24.45,5.69,no change,plattogm
Gwen,JUNGLE,53.45,24.45,1.71,no change,plattogm
Gwen,MID,47.85,24.45,1.74,no change,plattogm
Hecarim,JUNGLE,43.64,3.52,2.23,buff,plattogm
Heimerdinger,ADC,55.78,0.53,0.44,no change,plattogm
Heimerdinger,MID,47.98,0.53,0.7,no change,plattogm
Heimerdinger,TOP,50.03,0.53,0.69,no change,plattogm
Illaoi,TOP,45.76,1.21,1.29,no change,plattogm
Irelia,TOP,46.72,14.35,5.35,no change,plattogm
Irelia,MID,46.52,14.35,3.3,no change,plattogm
Ivern,JUNGLE,49.02,0.53,1.8,no change,plattogm
Janna,SUPPORT,51.41,0.57,5.79,no change,plattogm
Jarvan IV,JUNGLE,49.54,0.13,2.14,no change,plattogm
Jax,TOP,51.16,5.14,4.21,no change,plattogm
Jax,MID,55.82,5.14,0.48,no change,plattogm
Jayce,TOP,48.48,2.36,4.78,no change,plattogm
Jayce,MID,49.74,2.36,1.81,no change,plattogm
Jhin,ADC,52.23,1.85,14.07,no change,plattogm
Jinx,ADC,51.79,6.65,18.24,no change,plattogm
Kai'Sa,ADC,50.08,9.47,29.7,no change,plattogm
Kalista,ADC,50.9,0.24,1.75,no change,plattogm
Kalista,TOP,42.08,0.23,0.21,no change,plattogm
Karma,SUPPORT,47.43,1.89,9.58,no change,plattogm
Karthus,JUNGLE,51.53,3.86,2.84,no change,plattogm
Karthus,ADC,53.89,3.86,0.42,no change,plattogm
Kassadin,MID,51.72,16.18,4.2,no change,plattogm
Katarina,MID,50.83,16.98,7.9,no change,plattogm
Kayle,TOP,52.34,2.62,4.57,no change,plattogm
Kayle,MID,53.07,2.62,1.79,no change,plattogm
Kayn,JUNGLE,51.14,10.83,9.68,no change,plattogm
Kennen,MID,54.6,0.42,0.52,no change,plattogm
Kennen,TOP,47.95,0.42,2.04,no change,plattogm
Kha'Zix,JUNGLE,52.4,7.77,9.4,no change,plattogm
Kindred,JUNGLE,50.73,4.81,6.93,no change,plattogm
Kled,TOP,54.03,1.08,2.35,no change,plattogm
Kled,MID,53.9,1.08,0.5,no change,plattogm
Kog'Maw,ADC,51.62,1.83,5.77,no change,plattogm
LeBlanc,MID,49.91,4.51,4.48,no change,plattogm
Lee Sin,TOP,50.77,27.34,8.35,nerf,plattogm
Lee Sin,JUNGLE,51.35,27.34,17.04,nerf,plattogm
Lee Sin,MID,51.53,27.34,3.52,nerf,plattogm
Leona,SUPPORT,51.57,19.01,12.1,nerf,plattogm
Lillia,JUNGLE,43.52,0.48,2.01,no change,plattogm
Lissandra,MID,52.17,0.41,1.96,no change,plattogm
Lissandra,TOP,53.42,0.39,0.24,no change,plattogm
Lucian,MID,47.09,3.58,4.76,no change,plattogm
Lucian,ADC,49.49,3.58,5.16,no change,plattogm
Lucian,TOP,47.97,3.58,1.42,no change,plattogm
Lulu,SUPPORT,51.91,37.67,16.57,no change,plattogm
Lux,MID,51.41,1.03,4.19,no change,plattogm
Lux,SUPPORT,50.08,1.03,4.96,no change,plattogm
Malphite,TOP,50.18,7.83,4.89,no change,plattogm
Malphite,MID,49.93,7.83,1.02,no change,plattogm
Malzahar,MID,53.7,2.3,2.7,no change,plattogm
Malzahar,TOP,55.32,2.68,0.33,no change,plattogm
Maokai,SUPPORT,53.07,0.36,2.16,no change,plattogm
Maokai,TOP,52.75,0.37,0.79,no change,plattogm
Master Yi,JUNGLE,46.8,5.97,3.87,tweak,plattogm
Miss Fortune,ADC,51.3,0.31,4.88,no change,plattogm
Mordekaiser,TOP,51.41,6.52,6.03,no change,plattogm
Mordekaiser,MID,50.96,6.52,0.87,no change,plattogm
Mordekaiser,JUNGLE,50.79,7.39,0.86,no change,plattogm
Morgana,JUNGLE,52.78,60.95,9.43,nerf,plattogm
Morgana,SUPPORT,50.88,60.95,4.27,nerf,plattogm
Nami,SUPPORT,52.85,0.18,5.11,no change,plattogm
Nasus,TOP,50.66,2.38,3.12,no change,plattogm
Nasus,MID,53.52,2.38,0.34,no change,plattogm
Nautilus,SUPPORT,50.31,9.64,11.41,tweak,plattogm
Neeko,MID,50.82,0.24,1.27,no change,plattogm
Neeko,SUPPORT,52.04,0.24,0.48,no change,plattogm
Neeko,TOP,46.17,0.25,0.24,no change,plattogm
Nidalee,JUNGLE,48.23,2.48,5.44,no change,plattogm
Nocturne,JUNGLE,52.04,4.98,5.5,no change,plattogm
Nocturne,MID,53.65,4.98,1.09,no change,plattogm
Nocturne,TOP,52.8,4.98,1.64,no change,plattogm
Olaf,JUNGLE,51.08,2.21,2.55,no change,plattogm
Olaf,TOP,48.95,2.01,0.25,no change,plattogm
Orianna,MID,47.73,0.42,3.92,no change,plattogm
Ornn,TOP,54.16,0.7,4.15,no change,plattogm
Pantheon,MID,50.71,3.24,2.22,no change,plattogm
Pantheon,TOP,53.44,3.24,0.92,no change,plattogm
Pantheon,SUPPORT,43.72,3.24,1.59,no change,plattogm
Poppy,TOP,51.42,1.14,1.76,no change,plattogm
Poppy,JUNGLE,51.49,1.14,1.59,no change,plattogm
Pyke,SUPPORT,47.83,4.91,6.21,no change,plattogm
Qiyana,MID,50.88,11.01,5.99,nerf,plattogm
Quinn,TOP,52.3,0.81,1.37,no change,plattogm
Quinn,MID,51.97,0.88,0.27,no change,plattogm
Rakan,SUPPORT,51.69,0.21,4.53,no change,plattogm
Rammus,JUNGLE,50.56,5.36,2.23,no change,plattogm
Rek'Sai,JUNGLE,50.25,2.28,3.6,no change,plattogm
Rell,SUPPORT,49.66,3.85,3.53,no change,plattogm
Renekton,TOP,49.35,8.06,6.26,no change,plattogm
Renekton,MID,49.61,8.06,1.63,no change,plattogm
Rengar,JUNGLE,48.87,3.91,2.92,no change,plattogm
Rengar,TOP,51.67,3.91,1.03,no change,plattogm
Riven,TOP,53.32,3.64,5.76,no change,plattogm
Riven,MID,54.41,3.64,0.92,no change,plattogm
Rumble,JUNGLE,46.52,32.01,11,nerf,plattogm
Rumble,MID,50.19,32.01,1.61,nerf,plattogm
Rumble,TOP,48.59,32.01,1.7,nerf,plattogm
Ryze,MID,45.27,0.25,2.21,buff,plattogm
Ryze,TOP,43.68,0.25,0.71,buff,plattogm
Samira,ADC,50.63,27.59,12.25,no change,plattogm
Sejuani,JUNGLE,51.78,0.13,1.9,no change,plattogm
Senna,SUPPORT,51.32,16.25,12.8,tweak,plattogm
Senna,ADC,49.88,16.25,1.58,tweak,plattogm
Seraphine,SUPPORT,50.22,3.3,4.09,buff,plattogm
Seraphine,ADC,54.6,3.3,0.62,buff,plattogm
Seraphine,MID,51.47,3.3,0.83,buff,plattogm
Sett,TOP,51.6,7.69,10.59,no change,plattogm
Sett,MID,51.57,7.69,2.36,no change,plattogm
Sett,SUPPORT,45.6,7.69,2.91,no change,plattogm
Shaco,JUNGLE,53.33,22.32,7.17,nerf,plattogm
Shaco,SUPPORT,45.97,22.32,1.45,nerf,plattogm
Shen,TOP,50.99,5.45,7.49,no change,plattogm
Shyvana,JUNGLE,50.88,0.17,1.09,no change,plattogm
Shyvana,TOP,48.42,0.17,0.18,no change,plattogm
Singed,MID,52.45,0.24,0.21,tweak,plattogm
Singed,TOP,47.68,0.26,1.28,tweak,plattogm
Sion,TOP,52.76,0.34,3.82,no change,plattogm
Sion,MID,53.97,0.34,0.54,no change,plattogm
Sivir,ADC,50.34,0.72,3.74,no change,plattogm
Skarner,TOP,54.5,0.18,0.12,no change,plattogm
Skarner,JUNGLE,52.25,0.19,0.92,no change,plattogm
Sona,SUPPORT,55.5,0.09,2.04,no change,plattogm
Soraka,SUPPORT,51.25,0.35,3.56,no change,plattogm
Swain,ADC,55.26,2.28,1.1,no change,plattogm
Swain,MID,53.69,2.28,0.61,no change,plattogm
Swain,SUPPORT,45.66,2.28,2.35,no change,plattogm
