champ,role,winrate,banrate,pickrate,change
Aatrox,TOP,47.25,6.01,4.73,no change
Ahri,MID,50.41,1.95,5.62,no change
Akali,MID,44.93,11.25,4.79,no change
Akali,TOP,44.61,11.25,1.78,no change
Alistar,SUPPORT,50.67,2.35,7.32,no change
Amumu,JUNGLE,52.07,1.88,3.77,buff
Anivia,MID,52.1,10.74,4.44,no change
Anivia,SUPPORT,47.82,10.74,0.47,no change
Annie,MID,53.07,1.45,3.38,no change
Aphelios,ADC,47.0,1.95,5.41,no change
Ashe,ADC,50.36,2.38,8.71,no change
Ashe,SUPPORT,47.18,2.38,1.36,no change
Aurelion Sol,MID,50.63,0.18,0.71,no change
Azir,MID,44.69,0.22,1.74,no change
Bard,SUPPORT,49.49,0.32,2.53,no change
Blitzcrank,SUPPORT,50.01,13.39,6.74,no change
Brand,SUPPORT,52.02,10.74,6.09,no change
Brand,MID,54.08,10.74,1.6,no change
Braum,SUPPORT,49.68,0.38,2.23,buff
Caitlyn,ADC,47.68,6.32,9.17,buff
Camille,TOP,49.14,8.08,6.61,nerf
Cassiopeia,MID,50.22,1.23,2.07,no change
Cassiopeia,TOP,50.15,1.23,0.36,no change
Cho'Gath,TOP,53.02,2.87,5.1,no change
Cho'Gath,MID,53.32,2.87,0.8,no change
Corki,MID,50.36,0.2,0.8,no change
Corki,ADC,48.25,0.2,0.09,no change
Darius,TOP,49.7,40.65,8.43,no change
Diana,MID,52.65,4.72,5.65,no change
Dr. Mundo,JUNGLE,53.8,2.24,3.98,no change
Dr. Mundo,TOP,50.08,2.24,1.7,no change
Draven,ADC,48.28,3.5,3.27,no change
Ekko,JUNGLE,50.97,7.41,6.47,no change
Ekko,MID,50.68,7.41,4.95,no change
Elise,JUNGLE,50.07,6.21,4.12,no change
Evelynn,JUNGLE,49.34,6.82,4.57,no change
Ezreal,ADC,47.43,2.83,15.61,no change
Fiddlesticks,JUNGLE,51.02,2.14,3.66,no change
Fiora,TOP,47.69,5.01,4.36,buff
Fizz,MID,51.46,20.02,6.56,no change
Galio,MID,51.8,2.46,4.49,no change
Galio,SUPPORT,51.42,2.46,2.1,no change
Gangplank,TOP,45.24,0.9,2.65,no change
Gangplank,MID,47.18,0.9,0.46,no change
Garen,TOP,53.14,7.49,10.3,no change
Gnar,TOP,49.67,5.2,7.47,no change
