champ,role,winrate,rank,banrate,pickrate,change
Aatrox,TOP,50.55,plattogm,2.99,5.04,buff
Ahri,MID,52.1,plattogm,1.28,5.34,no change
Akali,MID,47.19,plattogm,7.7,4.12,buff
Akali,TOP,47.44,plattogm,7.7,2.18,buff
Akshan,MID,52.65,plattogm,29.99,5.72,no change
Akshan,ADC,48.44,plattogm,29.99,1.98,no change
Alistar,SUPPORT,48.79,plattogm,1.56,5.25,no change
Amumu,JUNGLE,52.87,plattogm,11.36,6.16,no change
Amumu,SUPPORT,50.56,plattogm,11.36,3.78,no change
Anivia,MID,53.53,plattogm,4.03,4,no change
Annie,MID,50.56,plattogm,0.76,2.39,no change
Aphelios,ADC,48.54,plattogm,2.87,7.58,no change
Ashe,ADC,53.25,plattogm,3.21,10.04,no change
Aurelion Sol,MID,47.46,plattogm,0.19,0.71,no change
Azir,MID,47.23,plattogm,0.24,1.54,no change
Bard,SUPPORT,54.62,plattogm,0.86,4.37,no change
Blitzcrank,SUPPORT,52.95,plattogm,9.42,6.31,no change
Brand,MID,52.47,plattogm,4.4,0.66,no change
Brand,SUPPORT,49.65,plattogm,3.09,3.89,no change
Braum,SUPPORT,48.1,plattogm,0.66,4.46,no change
Caitlyn,ADC,51.24,plattogm,4.58,11.09,no change
Camille,TOP,53.55,plattogm,12.94,10.29,no change
Cassiopeia,MID,50.01,plattogm,2.03,2.65,no change
Cassiopeia,TOP,51.82,plattogm,2.02,0.56,no change
Cassiopeia,ADC,48.19,plattogm,2.02,0.47,no change
Cho'Gath,TOP,52.03,plattogm,0.61,2.13,no change
Cho'Gath,MID,49.79,plattogm,0.65,0.41,no change
Corki,MID,51.53,plattogm,0.28,1.79,no change
Darius,TOP,49.06,plattogm,16.9,6.08,no change
Diana,JUNGLE,49.08,plattogm,10.81,6.44,no change
Diana,MID,47.61,plattogm,10.81,3.05,no change
Dr. Mundo,TOP,50.35,plattogm,3.32,3.95,no change
Dr. Mundo,JUNGLE,49.12,plattogm,3.61,0.49,no change
Draven,ADC,53.35,plattogm,13.24,9.15,no change
Ekko,JUNGLE,52.16,plattogm,12.97,10.77,no change
Ekko,MID,48.69,plattogm,12.97,3.57,no change
Elise,JUNGLE,52.7,plattogm,2.48,2.06,no change
Evelynn,JUNGLE,50.64,plattogm,12.33,4.43,no change
Ezreal,ADC,50.1,plattogm,8.51,23.43,no change
Fiddlesticks,JUNGLE,51.74,plattogm,11.81,5.49,no change
Fiora,TOP,51.11,plattogm,16.6,7.95,no change
Fizz,MID,50.47,plattogm,5.62,3.94,tweak
Galio,MID,52.44,plattogm,0.79,2.99,buff
Galio,SUPPORT,47.59,plattogm,0.79,1.5,buff
Gangplank,TOP,48.06,plattogm,3.11,5.23,no change
Gangplank,MID,47.65,plattogm,2.95,1.18,no change
Garen,TOP,52.16,plattogm,1.56,4.02,no change
Garen,MID,54.15,plattogm,2.27,0.56,no change
Gnar,TOP,47.06,plattogm,1.73,4.91,no change
Gragas,JUNGLE,52.47,plattogm,0.43,2.1,no change
Gragas,MID,52.04,plattogm,0.23,0.33,no change
Gragas,TOP,53.79,plattogm,0.32,0.78,no change
Gragas,SUPPORT,46.05,plattogm,0.41,0.43,no change
Graves,JUNGLE,51.54,plattogm,9.51,9.04,no change
Graves,MID,56.03,plattogm,9.51,2.3,no change
Gwen,JUNGLE,56.35,plattogm,5.14,0.6,buff
Gwen,TOP,47.05,plattogm,5.14,3.25,buff
Hecarim,JUNGLE,51.78,plattogm,2.24,3.9,no change
Heimerdinger,MID,54.48,plattogm,0.5,0.68,no change
Heimerdinger,TOP,55,plattogm,0.5,0.63,no change
Heimerdinger,ADC,55.02,plattogm,0.62,0.37,no change
Illaoi,TOP,49.04,plattogm,2.02,1.88,no change
Irelia,TOP,49.99,plattogm,43.68,7.88,no change
Irelia,MID,51.87,plattogm,43.68,6.01,no change
