champ,role,winrate,banrate,pickrate,change
Aatrox,TOP,52.34,3.25,5.41,no change
Aatrox,MID,53.44,3.25,0.79,no change
Ahri,MID,51.27,0.91,4.14,no change
Akali,MID,48.47,19.67,10.6,no change
Akali,TOP,47.92,19.67,5.19,no change
Alistar,SUPPORT,52.36,2.34,6.4,no change
Amumu,JUNGLE,53.8,0.48,1.87,no change
Anivia,MID,54.23,3.91,3.01,no change
Annie,MID,54.66,0.66,1.82,no change
Annie,SUPPORT,50.86,0.69,0.24,no change
Aphelios,ADC,48.32,0.86,5.04,buff
Ashe,ADC,52.15,0.42,5.03,no change
Aurelion Sol,TOP,54.92,0.21,0.12,no change
Aurelion Sol,MID,50.9,0.23,0.9,no change
Azir,MID,48.83,0.16,1.16,no change
Bard,SUPPORT,52.84,1.19,4.85,no change
Blitzcrank,SUPPORT,48.63,5.61,4.63,no change
Brand,SUPPORT,51.04,1.92,2.82,no change
Brand,MID,50.2,2.36,0.59,no change
Braum,SUPPORT,52.56,0.32,3.55,no change
Caitlyn,ADC,51.18,2.78,7.84,no change
Camille,TOP,53.58,4.6,7.21,no change
Cassiopeia,ADC,53.84,0.8,0.21,no change
Cassiopeia,MID,50.61,0.77,1.49,no change
Cassiopeia,TOP,53.85,0.8,0.36,no change
Cho'Gath,MID,54.38,0.7,0.55,no change
Cho'Gath,TOP,49.21,0.7,2.1,no change
Corki,MID,54.44,0.26,2.15,no change
Corki,TOP,56.91,0.26,0.26,no change
Darius,TOP,51.44,22.16,4.98,no change
Darius,MID,56.71,22.16,0.58,no change
Diana,JUNGLE,50.93,11.58,8.63,no change
Diana,MID,52.13,11.58,2.84,no change
Dr. Mundo,TOP,46.25,23.76,9.05,no change
Dr. Mundo,JUNGLE,37.39,23.76,2.08,no change
Draven,ADC,52.07,7.63,7.49,no change
Ekko,MID,52.66,2.68,3.45,no change
Ekko,JUNGLE,50.18,2.68,4.69,no change
Elise,JUNGLE,50.88,9.6,4.29,no change
Evelynn,JUNGLE,51.72,12.04,4.33,no change
Ezreal,ADC,53.59,34.84,34.58,no change
Fiddlesticks,JUNGLE,52.19,8.05,4.82,no change
Fiddlesticks,SUPPORT,47.15,8.05,0.27,no change
Fiora,TOP,50.86,7.7,5.29,no change
Fizz,MID,51.88,4.82,2.66,no change
Galio,MID,52.16,1.45,3.34,no change
Galio,SUPPORT,51.5,1.45,2.0,no change
Gangplank,TOP,49.79,2.1,3.33,no change
Gangplank,MID,44.03,2.1,0.51,no change
Garen,TOP,49.07,1.8,3.22,no change
Garen,MID,51.63,2.15,0.68,no change
Gnar,TOP,49.15,2.92,4.62,no change
Gragas,MID,55.65,0.32,0.45,no change
Gragas,JUNGLE,51.42,0.32,2.39,no change
Gragas,TOP,51.31,0.32,0.84,no change
Gragas,SUPPORT,47.49,0.32,0.89,no change
Graves,JUNGLE,50.09,1.72,4.93,no change
Gwen,TOP,49.2,40.2,7.98,no change
Gwen,MID,51.48,40.2,1.48,no change
Gwen,JUNGLE,50.04,40.2,1.85,no change
Hecarim,JUNGLE,50.18,6.24,7.99,no change
Heimerdinger,MID,55.74,0.5,0.65,no change
Heimerdinger,ADC,54.88,0.5,0.43,no change
Heimerdinger,TOP,52.45,0.5,0.64,no change
Illaoi,TOP,49.85,1.21,1.6,no change
Irelia,TOP,48.83,11.26,4.71,no change
Irelia,MID,45.93,11.26,2.88,no change
Ivern,JUNGLE,50.67,0.69,1.82,no change
Janna,SUPPORT,53.07,0.53,5.76,no change
Jarvan IV,JUNGLE,48.4,0.14,2.5,no change
Jax,TOP,50.88,5.26,4.67,no change
Jayce,TOP,48.93,2.1,4.26,no change
Jayce,MID,48.75,2.1,1.7,no change
Jhin,ADC,50.88,1.48,12.6,no change
Jinx,ADC,51.65,1.67,12.25,no change
Kai'Sa,ADC,48.14,6.53,21.65,no change
Kalista,ADC,48.74,0.46,3.02,no change
Karma,SUPPORT,48.75,6.01,14.72,no change
Karthus,ADC,54.69,4.37,0.49,no change
Karthus,MID,55.22,4.37,0.35,no change
Karthus,JUNGLE,49.57,4.37,3.01,no change
Kassadin,MID,52.28,15.87,4.42,no change
Katarina,MID,51.72,18.68,8.29,no change
Kayle,TOP,52.5,1.41,3.09,no change
Kayle,MID,55.8,1.41,1.41,no change
Kayn,JUNGLE,50.42,13.1,9.81,no change
Kennen,TOP,53.13,0.29,1.69,no change
Kennen,MID,49.16,0.29,0.47,no change
Kha'Zix,JUNGLE,51.98,11.22,9.8,no change
Kindred,JUNGLE,51.98,5.7,6.25,no change
Kled,TOP,51.75,1.03,2.16,no change
Kled,MID,53.33,1.09,0.45,no change
Kog'Maw,ADC,53.03,3.11,7.19,no change
LeBlanc,MID,49.5,4.9,4.76,no change
Lee Sin,JUNGLE,50.75,26.42,18.04,nerf
